论文题目,会议名称
 Deep speech 2: End-to-end speech recognition in english and mandarin, In International conference on machine learning
 Designing neural network architec-tures using reinforcement learning, In 5th International Conference on Learning Representations
 Estimating or propagating gradientsthrough stochastic neurons for conditional computation, arXiv preprint arXiv:1308
 Benchmark analysis of repre-sentative deep neural network architectures, IEEE Access
 Online learning and stochastic approximations, On-line learning in neuralnetworks
 A theoretical analysis of feature pooling in visualrecognition, In Proceedings of the 27th international conference on machine learning (ICML-10)
" Chopra, R", Hadsell
 Very deep convolutional net-works for text classification, In Proceedings of the 15th Conference of the European Chap-ter of the Association for Computational Linguistics: Volume 1
 Coatnet: Marrying convolution andattention for all data sizes, arXiv preprint arXiv:2106
 Imagenet: A large-scale hi-erarchical image database, In 2009 IEEE conference on computer vision and pattern recognition
 An im-age is worth 16x16 words: Transformers for image recognition at scale, In International Confer-ence on Learning Representations
 The modulation transfer function for speech intelligi-bility, PLoS computational biology
 Neural Audio Synthesis of Musical Notes with WaveNet Autoencoders,Technical report
 Spectrotem-poral modulation provides a unifying framework for auditory cortical asymmetries, Nature humanbehaviour
 Improving sound event classification by in-creasing shift invariance in convolutional neural networks, ArXiv
 Sharpness-aware minimiza-tion for efficiently improving generalization, In International Conference on Learning Represen-tations
 Fukushima, Neocognitron: A self-organizing neural network model for a mechanism of patternrecognition unaffected by shift in position
 Convolutionalsequence to sequence learning, In International Conference on Machine Learning
 Deep sparse rectifier neural networks, InProceedings of the fourteenth international conference on artificial intelligence and statistics
 Fractional max-pooling, arXiv preprint arXiv:1412
 Learned-norm poolingfor deep feedforward and recurrent neural networks, In Joint European Conference on MachineLearning and Knowledge Discovery in Databases
 Deep residual learning for image recog-nition, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Identity mappings in deep residualnetworks, In European conference on computer vision
 What’s wrong with convolutional nets, MIT Brain and Cognitive Sciences-FallColloquium Series
" Howard, Menglong Zhu, Bo Chen, Dmitry Kalenichenko, Weijun Wang, Tobias Weyand,Marco Andreetto, and Hartwig Adam", Mobilenets: Efficient convolutional neural networks formobile vision applications
" Howard, Mark Sandler, Grace Chu, Liang-Chieh Chen, Bo Chen, Mingxing Tan, WeijunWang, Yukun Zhu, Ruoming Pang, Vijay Vasudevan, Quoc V", Le
 Densely connectedconvolutional networks, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Human superior temporal gyrus organization of spectrotemporal modulation tuning de-rived from speech stimuli, Journal of Neuroscience
 Batch normalization: Accelerating deep network training byreducing internal covariate shift, In International conference on machine learning
 Alexander,Learning to downsample for segmentation of ultra-high resolution images
 Adam: A method for stochastic optimization, In ICLR (Poster)
 Panns:Large-scale pretrained audio neural networks for audio pattern recognition, IEEE/ACM Transac-tions on Audio
 Krizhevsky, Learning multiple layers of features from tiny images
 Imagenet classification with deep con-volutional neural networks, Advances in neural information processing systems
 Learning multiple layers of features from tiny images, 
 Haptic texture perception on 3d-printedsurfaces transcribed from visual natural textures, In International Conference on Human HapticSensing and Touch Enabled Computer Applications
 Handwritten digit recognition with a back-propagation network, Advancesin neural information processing systems
" Generalizing pooling functions in convo-lutional neural networks: Mixed, gated, and tree", In Artificial intelligence and statistics
 Lyons, Understanding Digital Signal Processing (2nd Edition)
 Magimai,-Doss
" Xu, B", Poczos
 On the momentum term in gradient descent learning algorithms, Neural networks : theofficial journal of the International Neural Network Society
 Ribeiro and Thomas B, Schon
 Spectral representations for convolutional neuralnetworks, In Proceedings of the 28th International Conference on Neural Information ProcessingSystems-Volume 2
 The statistics of natural images, Network: computation in neural systems
 Detail-preserving pooling in deepnetworks, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Very deep multilingual convolu-tional neural networks for lvcsr, In 2016 IEEE international conference on acoustics
 Modulation spectra of natural sounds and ethologicaltheories of auditory processing, The Journal of the Acoustical Society of America
 Automaticacoustic detection of birds through deep learning: the first Bird Audio Detection challenge, Tech-nical report
 Adaptive attentionspan in transformers, In Proceedings of the 57th Annual Meeting of the Association for Compu-tational Linguistics
 Going deeper with convolutions, InProceedings of the IEEE conference on computer vision and pattern recognition
 Self-supervisedaudio representation learning for mobile devices, arXiv preprint arXiv:1905
 Learning to resize images for computer vision tasks, ICCV
 Efficientnet: Rethinking model scaling for convolutional neural net-works, In International Conference on Machine Learning
 Mnasnet: Platform-aware neural architecture search for mobile, In Proceedings ofthe IEEE/CVF Conference on Computer Vision and Pattern Recognition
" Kavukcuoglu, Oriol Vinyals, andA", Graves
 Speech Commands: A Dataset for Limited-Vocabulary Speech Recognition, Technicalreport
 Understanding straight-through estimator in train-ing activation quantized neural nets, In International Conference on Learning Representations
 Fully convolutional speech recognition, arXiv preprint arXiv:1812
 Making convolutional networks shift-invariant again, In ICML
 Le, Neural architecture search with reinforcement learning
