论文题目,会议名称
 Emergence of invariance and disentanglement in deep rep-resentations, The Journal ofMachine Learning Research
 Turning your weak-ness into a strength: Watermarking deep neural networks by backdooring, In 27th {USENIX}Security Symposium ({USENIX} Security 18)
Unsupervised multi-source domain adaptation without access to source data, arXiv preprintarXiv:2104
 Deep-lock: Secureauthorization for deep neural networks, arXiv preprint arXiv:2008
 Generalizing from several related classificationtasks to a new unlabeled sample, Advances in neural information processing systems
 Deep learning techniques for music gen-eration, Springer
 Hardware-assisted intellectual prop-erty protection of deep learning models, In 2020 57th ACM/IEEE Design Automation Conference(DAC)
 Infogan:interpretable representation learning by information maximizing generative adversarial nets, InNeural Information Processing Systems (NIPS)
Refit: a unified watermark removal framework for deep learning systems with limited data, arXivpreprint arXiv:1911
 {mID}: Tracingscreen photos via {Moire} patterns, In 30th USENIX Security Symposium (USENIX Security 21)
 An analysis of single-layer networks in unsupervisedfeature learning, In Proceedings of the fourteenth international conference on artificial intelli-gence and statistics
 Imagenet: A large-scale hi-erarchical image database, In 2009 IEEE conference on computer vision and pattern recognition
 The mnist database of handwritten digit images for machine learning research [best of theweb], IEEE Signal Processing Magazine
 What can be transferred:Unsupervised domain adaptation for endoscopic lesions segmentation, In Proceedings of theIEEE/CVF conference on computer vision and pattern recognition
 Where and how to transfer:knowledge aggregation-induced transferability perception for unsupervised domain adaptation,IEEE Transactions on Pattern Analysis and Machine Intelligence
Learning to learn with variational information bottleneck for domain generalization, In EuropeanConference on Computer Vision
 Rethinking deep neural network ownership verifi-cation: Embedding passports to defeat ambiguity attacks, 2019
 Domain-adversarial training of neural net-works, The journal of machine learning research
 Learning both weights and connections forefficient neural networks, arXiv preprint arXiv:1506
 Deep residual learning for image recog-nition, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Model inversion attacks against collaborative in-ference, In Proceedings of the 35th Annual Computer Security Applications Conference
 Hull, A database for handwritten text recognition research
 Generalized clustering via kernel embeddings, In Annual Conference on artifi-cial intelligence
 Measuringcatastrophic forgetting in neural networks, In Proceedings of the AAAI Conference on ArtificialIntelligence
 Universal source-free domain adap-tation, In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Adversarial frontier stitching for remote neuralnetwork watermarking, Neural Computing and Applications
 Mmd gan:towards deeper understanding of moment matching network, In Proceedings of the 31st Interna-tional Conference on Neural Information Processing Systems
 A deep learning based imageenhancement approach for autonomous driving at night, Knowledge-Based Systems
 Progressive domain expansion network for single domain generalization, arXiv preprintarXiv:2103
 How to prove your model belongs to you:a blind-watermark based framework to protect intellectual property of dnn, In Proceedings of the35th Annual Computer Security Applications Conference
 Do we really need to access the source data? sourcehypothesis transfer for unsupervised domain adaptation, In International Conference on MachineLearning
 Learning transferable features withdeep adaptation networks, In International conference on machine learning
 Conditional generative adversarial nets, arXiv preprintarXiv:1411
 Readingdigits in natural images with unsupervised feature learning, 2011
 Efficient domain generalization viacommon-specific low-rank decomposition, In International Conference on Machine Learning
 Learning to learn single domain generalization, In Pro-ceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition
Correlation-aware adversarial domain adaptation and generalization, Pattern Recognition
 Mlaas: Machine learning as a service,In 2015 IEEE 14th International Conference on Machine Learning and Applications (ICMLA)
 Deepsigns: A generic watermarkingframework for ip protection of deep learning models, arXiv preprint arXiv:1804
 Effects of degradations ondeep neural network architectures, arXiv preprint arXiv:1807
 Updates-leak: Data set inference and reconstruction attacks in online learning, In 29th {USENIX} SecuritySymposium ({USENIX} Security 20)
 Membership inference at-tacks against machine learning models, In 2017 IEEE Symposium on Security and Privacy (SP)
 Very deep convolutional networks for large-scale imagerecognition, arXiv preprint arXiv:1409
 Amortisedmap inference for image super-resolution, arXiv preprint arXiv:1610
 Machine learning models that remem-ber too much, In Proceedings of the 2017 ACM SIGSAC Conference on computer and communi-cations security
 Kernel choice and ClaSSifiability for rkhs embeddings of probability distributions,In NIPS
 When doesmachine learning {FAIL}? generalized transferability for evasion and poisoning attacks, In 27th{USENIX} Security Symposium ({USENIX} Security 18)
 The information bottleneck method, arXivpreprint physics/0004057
 Feature extraction by non-parametric mutual information maximization, Journal ofmachine learning research
 Embedding watermarksinto deep neural networks, In Proceedings of the 2017 ACM on International Conference onMultimedia Retrieval
 Eavesdrop the composition proportion of traininglabels in federated learning, arXiv preprint arXiv:1910
 Providing domain specific model via universal no dataexchange domain adaptation, In Journal of Physics: Conference Series
 One for many: Transferlearning for building hvac control, In Proceedings of the 7th ACM International Conference onSystems for Energy-Efficient Buildings
 Weak adaptation learning: Addressing cross-domain data insufficiency with weak annotator, In Proceedings of the IEEE/CVF InternationalConference on Computer Vision
 Robust and generalizable visual repre-sentation learning via random convolutions, arXiv preprint arXiv:2007
 Latent backdoor attacks on deep neuralnetworks, In Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communica-tions Security
 Protecting intellectual property of deep neural networks with watermarking, In Proceed-ings of the 2018 on Asia Conference on Computer and Communications Security
 Deep neural networkhyperparameter optimization with orthogonal array tuning, In International Conference on NeuralInformation Processing
 Afa: Adversarial fingerprinting authentication for deep neural networks, Computer Commu-nications
 Maximum-entropy adversarial data augmen-tation for improved generalization and robustness, arXiv preprint arXiv:2010
 Domain generaliza-tion via entropy regularization, Advances in Neural Information Processing Systems
 Learning to generate noveldomains for domain generalization, In European Conference on Computer Vision
 Neural architecture search with reinforcement learning, arXiv preprintarXiv:1611
