论文题目,会议名称
 Persistent anti-muslim bias in large languagemodels, arXiv preprint arXiv:2101
 Wildlife insights: Aplatform to maximize the potential of camera trap and other passive sensor wildlife data for theplanet, Environmental Conservation
Leveraging unlabeled whole-slide-images for mitosis detection, Computational Pathology andOphthalmic Medical Image Analysis
 Deep learning for segmentation of brain tUmors:Impact of cross-institUtional training and testing, Med Phys
 Big self-supervisedmodels advance medical image classification, arXiv preprint arXiv:2101
From detection of individual metastases to classification of lymph node status at the patient level:the CAMELYON17 challenge, IEEE Transactions on Medical Imaging
 Recognition in terra incognita, In European Con-ference on Computer Vision (ECCV)
 Efficient pipeline for camera trap image review, arXivpreprint arXiv:1907
 The iwildcam 2020 competition dataset, arXiv preprintarXiv:2004
 A theory of learning from different domains, Machine Learning
 Ethical considerations when using geospatialtechnologies for evidence generation, Innocenti Discussion Paper
 Adamatch:A unified approach to semi-supervised learning and domain adaptation, arXiv preprintarXiv:2106
" Experiment tracking with weights and biases, 2020", URL https://www
" Biographies, bollywood, boom-boxes andblenders: Domain adaptation for sentiment classification", In Proceedings of the 45th annualmeeting of the association of computational linguistics
 Pubchem: integrated plat-form of small molecules and biological activities, In Annual reports in computational chemistry
 Man isto computer programmer as woman is to homemaker? Debiasing word embeddings, In Advancesin Neural Information Processing Systems (NeurIPS)
" Hudson, Ehsan Adeli, Russ Altman, Simran Arora, Sydney von Arx,Michael S", Bernstein
 Nuancedmetrics for measuring unintended bias with real data for text classification, In World Wide Web(WWW)
" Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhari-wal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal,Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M",Ziegler
 D, Maloney
 Semantics derived automatically fromlanguage corpora contain human-like biases, Science
 Un-supervised learning of visual features by contrasting cluster assignments, In Advances in NeuralInformation Processing Systems (NeurIPS)
 LEGAL-BERT:”preparing the muppets for court”, In Empirical Methods in NaturalLanguage Processing (EMNLP)
 A simple framework forcontrastive learning of visual representations, In International Conference on Machine Learning(ICML)
 A simple framework forcontrastive learning of visual representations, In International conference on machine learning
 Functional map of the world,In Computer Vision and Pattern Recognition (CVPR)
 Self supervised contrastive learning for digital histopathol-ogy, arXiv preprint arXiv:2011
 Tydi qa: A benchmark for information-seeking question answering intypologically diverse languages, arXiv preprint arXiv:2003
 When doescontrastive visual representation learning work? arXiv preprint arXiv:2105,05837
 Cross-lingual language model pretraining, In Advances inNeural Information Processing Systems (NeurIPS)
 Xnli: Evaluating cross-lingual sentence representations, InEmpirical Methods in Natural Language Processing (EMNLP)
 The cityscapes dataset for semantic urbanscene understanding, In Proceedings of the IEEE conference on computer vision and patternrecognition
