论文题目,会议名称
 Ahmad and S, Omohundro
 A cognitive theory of consciousness, Cambridge University Press
 In the theatre of consciousness, global workspace theory
 Neural machine translation by jointlylearning to align and translate, arXiv preprint arXiv:1409
 Dota 2 with large scaledeep reinforcement learning, arXiv preprint arXiv:1912
 A framework for the cooperation of learning algorithms, InAdvances in neural information processing systems
 Vehicles: Experiments in synthetic psychology, MIT press
 Intelligence without representation, Artificial intelligence
 Language models arefew-shot learners, arXiv preprint arXiv:2005
 Memory transformer, arXiv preprint arXiv:2006
 Generating long sequences with sparsetransformers, arXiv preprint arXiv:1904
 Colagrosso and Michael C Mozer, Theories of access consciousness
" Dehaene, H", Lau
 Experimental and theoretical approaches to consciousprocessing, Neuron
"Stanislas Dehaene, Michel Kerszberg, and Jean-Pierre Changeux", A neuronal model of a globalworkspace in effortful cognitive tasks
 Animage is worth 16x16 words: Transformers for image recognition at scale, arXiv preprintarXiv:2010
 Pathnet: Evolution channels gradient descent in suPer neuralnetworks, arXiv preprint arXiv:1701
 The modularity of mind, MIT Press
 CATER: A diagnostic dataset for comPositional actions andtemPoral reasoning, CoRR
 Recurrent independent mechanisms, arXiv preprint arXiv:1909
 Object files and schemata: Factorizing declarative andprocedural knowledge in dynamical systems, arXiv preprint arXiv:2006
 Neural turing machines, CoRR
org/abs/1410,5401
 Adaptive mixtures oflocal experts, Neural computation
Perceiver: General perception with iterative attention, arXiv preprint arXiv:2103
" karpathy/mingpt, Aug 2020", URL https://github
 Adam: A method for stochastic optimization, arXiv preprintarXiv:1412
" Transformers with competitive ensembles of independent mechanisms, 2021", URLhttps://openreview
"Kanika Madan, Nan Rosemary Ke, Anirudh Goyal, Bernhard Scholkopf, and YoshUa Bengio", Metaattention networks: Meta-learning attention to modulate information between recurrent independentmechanisms
 Learning to combine top-down and bottom-up signals inrecurrent neural networks with attention over modules, In International Conference on MachineLearning
 Learning to combine top-down and bottom-up signals inrecurrent neural networks with attention over modules, In International Conference on MachineLearning
" fairseq: A fast, extensible toolkit for sequence modeling", In Proceedings ofNAACL-HLT 2019: Demonstrations
 Image transformer, In International Conference on Machine Learning
 Languagemodels are unsupervised multitask learners, OpenAI blog
 Compressivetransformers for long-range sequence modelling, arXiv preprint arXiv:1911
 S2rms: Spatially structured recurrent modules,arXiv preprint arXiv:2007
 Neural programmer-interpreters, arXiv preprint arXiv:1511
 Modular neural networks and self-decomposition,Technical Report CSC-96012
 Routing networks: Adaptive selection ofnon-linear functions for multi-task learning, arXiv preprint arXiv:1711
 Routing networks and thechallenges of modular and compositional computation, arXiv preprint arXiv:1904
 A simple neural network module for relational reasoning, InAdvances in neural information processing systems
 Relational recurrent neuralnetworks, In Advances in Neural Information Processing Systems
 A cognitive architecture that combines internal simulation with a global workspace,Consciousness and cognition
 Embodiment and the inner life: Cognition and Consciousness in the Space ofPossible Minds, Oxford University Press
 The brain’s connective core and its role in animal cognition, PhilosophicalTransactions of the Royal Society B: Biological Sciences
Murray Shanahan and Bernard Baars, Applying global workspace theory to the frame problem
 Outrageously large neural networks: The sparsely-gated mixture-of-experts layer, arXivpreprint arXiv:1701
 Relational neuralexpectation maximization: Unsupervised discovery of objects and their interactions, arXiv preprintarXiv:1802
 Attention is all you need, In Advances in neural informationprocessing systems
 Grandmaster level instarcraft ii using multi-agent reinforcement learning, Nature
