论文题目,会议名称
 Simulation of vision-based tactile sensors usingphysics based rendering, arXiv preprint arXiv:2012
 Learning to pokeby poking: Experiential learning of intuitive physics, arXiv preprint arXiv:1606
 Deep variational informationbottleneck, arXiv preprint arXiv:1612
 Reconciling modern machine-learning practice and the classical bias-variance trade-off, Proceedings of the National AcademyOfSciences
 De-scribing textures in the wild, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
" Pybullet, a python module for physics simulation for games,robotics and machine learning", http://pybullet
 Deep spatialautoencoders for visuomotor learning, In 2016 IEEE International Conference on Robotics andAutomation (ICRA)
 One-shot visual imita-tion learning via meta-learning, In Conference on Robot Learning
 Eye-in-hand/eye-to-hand cooperation forvisual servoing, In Proceedings 2000 ICRA
 Addressing function approximation error in actor-critic methods, In International Conference on Machine Learning
 Infobot: Transfer and exploration via the in-formation bottleneck, arXiv preprint arXiv:1901
 Soft actor-critic: Off-policymaximum entropy deep reinforcement learning with a stochastic actor, In International confer-ence on machine learning
 Deep residual learning for image recog-nition, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Environmental drivers of systematicity and generalization in asituated agent, arXiv preprint arXiv:1910
 Generative adversarial imitation learning, In Advances in NeuralInformation Processing Systems
 Generalization in reinforcement learning with selective noise injection andinformation bottleneck, arXiv preprint arXiv:1910
 Look closer:Bridging egocentric and third-person views with transformers for robotic manipulation, IEEERobotics and Automation Letters
 Time-agnostic prediction:Predicting predictable video frames, arXiv preprint arXiv:1808
 Never stop learning: The effectiveness of fine-tuning in robotic reinforcement learning,arXiv preprint arXiv:2004
 Planning and acting inpartially observable stochastic domains, Artificial intelligence
 Qt-opt: Scalable deepreinforcement learning for vision-based robotic manipulation, arXiv preprint arXiv:1806
 Discriminator-actor-critic: Addressing sample inefficiency and reward bias in adversarialimitation learning, arXiv preprint arXiv:1809
 Image augmentation is all you need: Regularizingdeep reinforcement learning from pixels, arXiv preprint arXiv:2004
 A workflow foroffline model-free robotic reinforcement learning, arXiv preprint arXiv:2109
 Re-inforcement learning with augmented data, arXiv preprint arXiv:2004
 End-to-end training of deep visuo-motor policies, The Journal of Machine Learning Research
 Continuous control with deep reinforcement learning, arXivpreprint arXiv:1509
 Eye-in-hand/eye-to-hand multi-camera vi-sual servoing, In Proceedings of the 44th IEEE Conference on Decision and Control
 Robust multi-modal policies for industrial assembly via rein-forcement learning and demonstrations: A large-scale study, arXiv preprint arXiv:2103
 What matters in learning from offlinehuman demonstrations for robot manipulation, arXiv preprint arXiv:2108
 Playing atari with deep reinforcement learning, arXiv preprintarXiv:1312
 In search of the real inductive bias: On therole of implicit regularization in deep learning, arXiv preprint arXiv:1412
" Variational dis-criminator bottleneck: Improving imitation learning, inverse rl, and gans by constraining infor-mation flow", arXiv preprint arXiv:1810
 The effectiveness of data augmentation in image classification usingdeep learning, arXiv preprint arXiv:1712
 Kovis: Keypoint-based visual servoing with zero-shotsim-to-real transfer for robotics manipulation, In 2020 IEEE/RSJ International Conference onIntelligent Robots and Systems (IROS)
 Offline reinforcement learningfrom images with latent space models, In Learning for Dynamics and Control
" Hands, dexterity, and the brain", Humanoid robotics and neuro-science: science
 A reduction of imitation learning and struc-tured prediction to no-regret online learning, In Proceedings of the fourteenth international con-ference on artificial intelligence and statistics
 Distributionally robustneural networks for group shifts: On the importance of regularization for worst-case generaliza-tion, arXiv preprint arXiv:1911
 Grasping in the wild: Learning6dof closed-loop grasping from low-cost demonstrations, IEEE Robotics and Automation Letters
 Universal plan-ning networks: Learning generalizable representations for visuomotor control, In InternationalConference on Machine Learning
 Habitat 2,0: Training homeassistants to rearrange their habitat
 Coarse-to-fine for sim-to-real: Sub-millimetre precision across the workspace, arXiv preprint arXiv:2105
 Example-driven model-based reinforcementlearning for solving long-horizon visuomotor tasks, arXiv preprint arXiv:2109
 Positive-unlabeled reward learning, Conference on Robot Learning
 Mastering visual continuous con-trol: Improved data-augmented reinforcement learning, arXiv preprint arXiv:2107
 Meta-world: A benchmark and evaluation for multi-task and meta reinforcement learning,In Conference on Robot Learning
 Gelsight: High-resolution robot tactilesensors for estimating geometry and force, Sensors
 Active perception and representa-tion for robotic manipulation, arXiv preprint arXiv:2003
 A framework for effi-cient robotic manipulation, arXiv preprint arXiv:2012
 Understandingdeep learning (still) requires rethinking generalization, Communications of the ACM
 Meld: Meta-reinforcement learning from images via latent state models, arXiv preprint arXiv:2010
 Reinforcement and imitation learning fordiverse visuomotor skills, arXiv preprint arXiv:1802
 Task-relevant adversarial imitation learn-ing, Conference on Robot Learning
"1 Environment DetailsFor the cube grasping experiments in Section 3, we investigate three types of distribution shifts", Theexperiment variants for DAgger and DrQ are summarized in Table 4
