论文题目,会议名称
 Variational option discovery algorithms,arXiv preprint arXiv:1807
 Flambe: Structural complexity andrepresentation learning of low rank mdps, Advances in Neural Information Processing Systems
 Natural gradient works efficiently in learning, Neural computation
" Methods of information geometry, volume 191", American MathematicalSoc
 Mutual information neural estimation, In International Conference on Machine Learning
 A geometric perspective on optimal representations forreinforcement learning, Advances in Neural Information Processing Systems
" Explore,discover and learn: Unsupervised discovery of state-covering skills", In International Conference on MachineLearning
 Actionable models: Unsupervised offline reinforcementlearning of robotic skills, In International Conference on Machine Learning
 Self-consistent trajectory autoencoder: Hierarchical reinforcement learning with trajectory embeddings, InInternational Conference on Machine Learning
 Elements of Information Theory (Wiley Series in Telecommunicationsand Signal Processing), Wiley-Interscience
 Visual foresight:Model-based deep reinforcement learning for vision-based robotic control, arXiv preprint arXiv:1812
 Diversity is all you need: Learningskills without a reward function, In International Conference on Learning Representations
 C-learning: Learning to achieve goals viarecursive classification, In International Conference on Learning Representations
" Facility location: concepts, models, algorithms and casestudies", Springer Science & Business Media
" Handbook of Markov decision processes: methods and applications,volume 40", Springer Science & Business Media
 Model-agnostic meta-learning for fast adaptation of deepnetworks, In International Conference on Machine Learning
 Stochastic neural networks for hierarchical reinforcementlearning, arXiv preprint arXiv:1704
 Bilevel programmingfor hyperparameter optimization and meta-learning, In International Conference on Machine Learning
 Source coding with side information and universal coding,1979
 Noise-contrastive estimation: A new estimation principle for Unnor-malized statistical models, In International Conference on Artificial Intelligence and Statistics
 Recurrent world models facilitate policy evolution, In S
Fast task inference with variational intrinsic successor features, In International Conference on LearningRepresentations
 Provably efficient maximum entropy exploration,In International Conference on Machine Learning
 Momentum contrast for unsupervisedvisual representation learning, In Computer Vision and Pattern Recognition
 Fundamentals of convex analysis, Springer Science &Business Media
 Learning deep representations by mutual information estimation and maximization, InInternational Conference on Learning Representations
Meta reinforcement learning as task inference, arXiv preprint arXiv:1905
 A natural policy gradient, Advances in Neural Information Processing Systems
 Estimating mutual information, Physical reviewE
 Curl: Contrastive unsupervised representations forreinforcement learning, In International Conference on Machine Learning
 URLB: Unsupervised reinforcement learning benchmark, In Thirty-fifth Conference on NeuralInformation Processing Systems Datasets and Benchmarks Track (Round 2)
 Meta-learning with differentiableconvex optimization, In Computer Vision and Pattern Recognition
 Efficientexploration via state marginal matching, arXiv preprint arXiv:1906
 New insights and perspectives on the natural gradient method, Journal of Machine LearningResearch
 Formal limitations on the measurement of mutual information, In Interna-tional Conference on Artificial Intelligence and Statistics
 Kinematic state abstraction andprovably efficient rich-observation reinforcement learning, In International Conference on Machine Learning
 Bayesian variable selection in linear regression, Journal of the americanstatistical association
 Model-free representationlearning and exploration in low-rank mdps, arXiv preprint arXiv:2102
 Variational information maximisation for intrinsically motivatedreinforcement learning, Advances in Neural Information Processing Systems
 Reinforcement learning via fenchel-rockafellar duality, arXiv preprintarXiv:2001
 Policy search via density estimation, In Advances in NeuralInformation Processing Systems
 Representation learning with contrastive predictive coding,arXiv preprint arXiv:1807
 Curiosity-driven exploration by self-supervised prediction, In International conference on machine learning
 Markov decision processes, Handbooks in operations research and management science
 Meta-learning with implicit gradients,Advances in Neural Information Processing Systems
 The information geometry of mirror descent, IEEE Transactions onInformation Theory
 Coding of a source with unknown but ordered probabilities, Problems of InformationTransmission
 Pretraining representations for data-efficient reinforcement learning,Advances in Neural Information Processing Systems
 Planning toexplore via self-supervised world models, In International Conference on Machine Learning
 State entropy maximizationwith random encoders for efficient exploration, In International Conference on Machine Learning
 Dynamics-aware unsuperviseddiscovery of skills, In International Conference on Learning Representations
 Reinforcement learning with soft state aggregation,Advances in Neural Information Processing Systems
 Understanding the limitations of variational mutual information estimators,In International Conference on Learning Representations
 Performance loss bounds for approximate value iteration with state aggregation, Mathematicsof Operations Research
 Learning to reinforcement learn, arXiv preprint arXiv:1611
 Dual representations for dynamic programming andreinforcement learning, 2007 IEEE International Symposium on Approximate Dynamic Programming andReinforcement Learning
 Unsupervised control through non-parametric discriminative rewards, In International Conference onLearning Representations
 Unsupervised feature learning via non-parametricinstance discrimination, In Computer Vision and Pattern Recognition
 Modeling purposeful adaptive behavior with the principle of maximum causal entropy, CarnegieMellon University
