论文题目,会议名称
 Muppet: Massive multi-task representations with pre-finetuning, arXiv preprintarXiv:2101
 Massively multilingual neural machinetranslation in the wild: Findings and challenges, arXiv preprint arXiv:1907
 Program synthesis with largelanguage models, arXiv preprint arXiv:2108
 Domain adaptation via pseudo in-domain dataselection, In Proceedings of the 2011 Conference on Empirical Methods in Natural LanguageProcessing
" Forcada, Amir Kamran, Faheem Kirefu, Philipp Koehn, Sergio Ortiz Rojas, LeopoldoPla Sempere, Gema Ramirez-Sgnchez, Elsa Sardas, Marek Strelec, Brian Thompson, WilliamWaites, Dion Wiggins, and JaUme Zaragoza", ParaCrawl: Web-scale acqUisition of parallel corpora
" Climbing towards NLU: On meaning, form, and Under-standing in the age of data", In Proceedings of the 58th Annual Meeting of the Association forComputational Linguistics
" Onthe dangers of stochastic parrots: Can langUage models be too big? In Proceedings of the2021 ACM Conference on Fairness, Accountability, and Transparency, FAccT ’21, pp", 610-623
 The Fifth PASCAL RecognizingTextUal Entailment Challenge, In TAC
 PIQA: ReasoningaboUt physical commonsense in natUral langUage, In Thirty-Fourth AAAI Conference on ArtificialIntelligence
" Chatterji, Annie Chen, Kathleen Creel, Jared Quincy Davis, DoraDemszky, Chris Donahue, Moussa Doumbouya, Esin Durmus, S Ermon, J Etchemendy, KawinEthayarajh, L Fei-Fei, Chelsea Finn, Trevor Gale, Lauren E Gillespie, Karan Goel, Noah D Good-man, S Grossman, Neel Guha, Tatsunori Hashimoto, Peter Henderson, John Hewitt, Daniel E", Ho
" Bowman, Gabor Angeli, Christopher Potts, and Christopher D", Manning
 Language models are few-shot learners, In Advances in Neural Information Pro-cessing Systems
 Description based text classification withreinforcement learning, In Proceedings of the International Conference on Machine Learning
 Evaluating large language models trainedon code, arXiv preprint arXiv:2107
 QuAC: Question answering in context, In Proceedings of the 2018 Conferenceon Empirical Methods in Natural Language Processing
 BoolQ: Exploring the surprising difficulty of natural yes/no questions, In Proceedingsof the 2019 Conference of the North American Chapter of the Association for ComputationalLinguistics: Human Language Technologies
" Kevin Clark, Minh-Thang Luong, Urvashi Khandelwal, Christopher D Manning, and Quoc V Le",BAM! born-again multi-task networks for natural language understanding
" Think you have solved question answering? Try ARC, the AI2 reasoning challenge",arXiv preprint arXiv:1803
 Natural language processing (almost) from scratch, Journal of Machine Learning Research
 Hybrid emoji-based masked language models for zero-shot abusive language detection, In Findings of theAssociation for Computational Linguistics: EMNLP 2020
 The PASCAL Recognising Textual Entailmentchallenge, In Proceedings of the First International Conference on Machine Learning Challenges:Evaluating Predictive Uncertainty Visual Object Classification
 Semi-supervised sequence learning, In Proceedings of the Confer-ence on Neural Information Processing Systems
 The CommitmentBank:Investigating projection in naturally occurring discourse, In Proceedings of Sinn und Bedeutung
 BERT: Pre-training ofdeep bidirectional transformers for language understanding, In Proceedings of the 2019 Con-ference of the North American Chapter of the Association for Computational Linguistics: Hu-man Language Technologies
 Automatically constructing a corpus of sentential paraphrases,In Proceedings of the Third International Workshop on Paraphrasing (IWP2005)
 GLaM: Efficient scaling of languagemodels with mixture-of-experts, arXiv preprint arXiv:2112
DROP: A reading comprehension benchmark requiring discrete reasoning over paragraphs, InProceedings of the 2019 Conference of the North American Chapter of the Association for Com-putational Linguistics: Human Language Technologies
 Edinburgh’s phrase-basedmachine translation systems for WMT-14, In Proceedings of the Ninth Workshop on StatisticalMachine Translation
 Semantic noise matters for neural naturallanguage generation, In Proceedings of the 12th International Conference on Natural LanguageGeneration
 Understanding back-translation at scale,In Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing
 The Turking Test: Can language models understand instructions? arXivpreprint arXiv:2010,11982
 Multi-neWs: A large-scalemulti-document summarization dataset and abstractive hierarchical model, In Proceedings of the57th Annual Meeting of the Association for Computational Linguistics
AI, Yelp Sentiment Classification Dataset
 Model-agnostic meta-learning for fast adaptation ofdeep networks, In Proceedings of the International Conference on Machine Learning (ICML)
 Making pre-trained language models better few-shotlearners, In Proceedings of the 59th Annual Meeting of the Association for Computational Linguis-tics and the 11th International Joint Conference on Natural Language Processing (Volume 1: LongPapers)
"Claire Gardent, Anastasia Shimorina, Shashi Narayan, and Laura Perez-Beltrachini", The WebNLGchallenge: Generating text from RDF data
" The GEM benchmark: Natural language generation, its evaluation and metrics",In Proceedings of the 1st Workshop on Natural Language Generation
 The third PASCAL recognizingtextual entailment challenge, In Proceedings of the ACL-PASCAL Workshop on Textual Entailmentand Paraphrasing
 SAMSum corpus: A human-annotated dialogue dataset for abstractive summarization, In Proceedings of the 2nd Workshopon New Frontiers in Summarization
 Twitter sentiment classification using distant supervision,CS224N project report
pdf,Dan Goldwasser and Dan Roth
"Max Grusky, Mor Naaman, and Yoav Artzi", Newsroom: A dataset of 1
 The Second PASCAL Recognising Textual Entailment Challenge, In Proceedingsof the Second PASCAL Challenges Workshop on Recognising Textual Entailment
 Question-answer driven semantic role labeling:Using natural language to annotate natural language, In Proceedings of the 2015 Conferenceon Empirical Methods in Natural Language Processing
 Surface formcompetition: Why the highest probability answer isn’t always right, In Proceedings of the2021 Conference on Empirical Methods in Natural Language Processing
 To-ward semantics-based answer pinpointing, In Proceedings of the First International Confer-ence on Human Language Technology Research
