论文题目,会议名称
 Asymptotically optimal design of piecewise cylindrical robotsusing motion planning, In Robotics: Science and Systems
 Openai gym, arXiv preprint arXiv:1606
 Spectral networks and locallyconnected networks on graphs, arXiv preprint arXiv:1312
 Hardware as policy: Mechanical and compu-tational co-optimization using deep reinforcement learning, arXiv preprint arXiv:2008
 Unshackling evolution: evolving softrobots with multiple materials and a powerful generative encoding, ACM SIGEVOlution
 Scalable co-optimization of mor-phology and control in embodied machines, Journal of The Royal Society Interface
 Computational abstractions for interactive design of roboticdevices, In 2017 IEEE International Conference on Robotics and Automation (ICRA)
 Interactive co-design of form and function forlegged robots using the adjoint method, arXiv preprint arXiv:1801
 Policy transfer via kinematic domainrandomization and adaptation, arXiv preprint arXiv:2011
 Fast graph representation learning with pytorch geometric,arXiv preprint arXiv:1903
 Reinforcement learning for improving agent design, Artificial life
 Joint optimiza-tion of robot design and motion parameters using the implicit function theorem, In Robotics:Science and systems
 Computationalco-optimization of design parameters and motion trajectories for robotic systems, The Interna-tional Journal of Robotics Research
 Task-agnostic morphology evolution, arXiv preprintarXiv:2102
 One policy to control them all: Shared modularpolicies for agent-agnostic control, In International Conference on Machine Learning
 Sim-gan: Hybrid simulator identification for domain adaptation via adversarial reinforcement learning,arXiv preprint arXiv:2101
 Semi-supervised classification with graph convolutional net-works, arXiv preprint arXiv:1609
 Mybody is a cage: the role of morphology in graph-based incompatible control, In InternationalConference on Learning Representations
 Weisfeiler and leman go neural: Higher-order graph neural networks,In Proceedings of the AAAI Conference on Artificial Intelligence
" Pytorch: An imperative style,high-performance deep learning library", Advances in neural information processing systems
 Learning to con-trol self-assembling morphologies: a study of generalization via modularity, arXiv preprintarXiv:1902
The graph neural network model, IEEE transactions on neural networks
 Jointly learning to con-struct and control agents using deep reinforcement learning, In 2019 International Conference onRobotics and Automation (ICRA)
 High-dimensional continuous control using generalized advantage estimation, arXiv preprintarXiv:1506
 Proximal policyoptimization algorithms, arXiv preprint arXiv:1707
 Evolving virtual creatures, In Proceedings of the 21st annual conference on Computergraphics and interactive techniques
 Mujoco: A physics engine for model-based control,In 2012 IEEE/RSJ International Conference on Intelligent Robots and Systems
 Contrasting exploration in parameter and action space:A zeroth-order optimization perspective, In The 22nd International Conference on Artificial In-telligence and Statistics
 Nervenet: Learning structured policy withgraph neural networks, In International Conference on Learning Representations
 Neural graph evolution: Towards efficientautomatic robot design, arXiv preprint arXiv:1906
 Acomprehensive survey on graph neural networks, IEEE transactions on neural networks andlearning systems
 Policy transfer with strategy optimization, arXiv preprintarXiv:1810
