论文题目,会议名称
 Better fine-tuning by reducing representational collapse, In International Conference onLearning Representations (ICLR)
 Deep learning for segmentation of brain tumors:Impact of cross-institutional training and testing, Med Phys
 The evolution ofout-of-distribution robustness throughout fine-tuning, arXiv
 On the optimization of deep networks: Implicitacceleration by overparameterization, In International Conference on Machine Learning (ICML)
" Bartlett, Philip M", Long
" What do neural ma-chine translation models learn about morphology? In Association for Computational Linguistics(ACL), pp", 861-872
 Two models of double descent for weak features, arXiv
 A new look at an old problem: A universal learningapproach to linear regression, In 2019 IEEE International Symposium on Information Theory(ISIT)
" Lee, and Qi Lei", A theory of label propagation for subpopulation shift
 A simple framework forcontrastive learning of visual representations, In International Conference on Machine Learning(ICML)
" Girshick, and Kaiming He", Improved baselines with momentumcontrastive learning
 An empirical study of training self-supervised visiontransformers, arXiv preprint arXiv:2104
 Functional map of the world, InComputer Vision and Pattern Recognition (CVPR)
 How fine-tuning allows for effective meta-learning, arXivpreprint arXiv:2105
 An analysis of single-layer networks in unsuper-vised feature learning, In Proceedings of the Fourteenth International Conference on ArtificialIntelligence and Statistics
" Du, Wei Hu, Sham M", Kakade
 Algorithmic regularization in learning deep homoge-neous models: Layers are automatically balanced, In Advances in Neural Information ProcessingSystems (NeurIPS)
 fastai tutorial on transfer learning, https://github
 Borrowing treasures from the wealthy: Deep transfer learning throughselective joint fine-tuning, In Computer Vision and Pattern Recognition (CVPR)
" Bach, and Simon Lacoste-Julien", Implicit regularization of discretegradient dynamics in deep linear neural networks
 Understanding the difficulty of training deep feedforward neuralnetworks, In International Conference on Artificial Intelligence and Statistics
 Golub and Charles F, Van Loan
Implicit regularization in matrix factorization, In Advances in Neural Information ProcessingSyStemS(NeurIPS) 
 Surprises in high-dimensional ridgeless least squares interpolation, arXiv preprint arXiv:1903
 Momentum contrast for unsuper-vised visual representation learning, In Computer ViSion and Pattern Recognition (CVPR)
 Using pre-training can improve model robustnessand uncertainty, In International Conference on Machine Learning (ICML)
 Natural adversarialexamples, arXiv preprint arXiv:1907
The many faces of robustness: A critical analysis of out-of-distribution generalization, arXivpreprint arXiv:2006
 Manning, A structural probe for finding syntax in word representa-tions
