论文题目,会议名称
 The surprisingpower of graph neural networks with random node initialization, In Proceedings of the ThirtiethInternational Joint Conference on Artifical Intelligence (IJCAI)
 Cormorant: Covariant molecular neuralnetworks, arXiv preprint arXiv:1906
 Spinnet: Learning a generalsurface descriptor for 3d point cloud registration, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Point convolutional neural networks by extensionoperators, arXiv preprint arXiv:1803
 Breaking the limits of message passing graph neural networks, In Proceedings of the38th International Conference on Machine Learning (ICML)
"Relational inductive biases, deep learning, and graph networks", arXiv preprint arXiv:1806
 Se (3)-equivariant graph neural networks for data-efficient and accurateinteratomic potentials, arXiv preprint arXiv:2101
 Improving graphneural network expressivity via subgraph isomorphism counting, arXiv preprint arXiv:2006
 On the geometry of the set of symmetricmatrices with repeated eigenvalues, Arnold Mathematical Journal
 Clusternet:Deep hierarchical cluster network with rigorously rotation-invariant representation for point cloudanalysis, In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Equivariant point network for3d point cloud analysis, In Proceedings of the IEEE/CVF Conference on Computer Vision andPattern Recognition
 Gauge equivariant convolutionalnetworks and the icosahedral cnn, In International Conference on Machine Learning
 Spherical cnns, In InternationalConference on Learning Representations
" Large Deviations Techniques and Applications, volume 38 ofStochastic Modelling and Applied Probability", Springer Berlin / Heidelberg
 Vector neurons: A general framework for so (3)-equivariant networks, arXiv preprintarXiv:2104
 Ppf-foldnet: Unsupervised learning of rotationinvariant 3d local descriptors, In Proceedings of the European Conference on Computer Vision(ECCV)
 On the universality of rotation equivariant point cloud networks,arXiv preprint arXiv:2010
 Learning so (3)equivariant representations with spherical cnns, In Proceedings of the European Conference onComputer Vision (ECCV)
 Se (3)-transformers: 3droto-translation equivariant attention networks, arXiv preprint arXiv:2006
" Representation theory: a first course, volume 129", Springer Science& Business Media
 On the power of combinatorial and spectral invariants, Linear algebra and itsapplications
 Neuralmessage passing for quantum chemistry, In International conference on machine learning
 The perfect match: 3d point cloudmatching with smoothed densities, In Proceedings of the IEEE/CVF Conference on ComputerVision and Pattern Recognition
 Matrix computations, edition
 Forcenet: A graph neural network for large-scale quantumcalculations, arXiv preprint arXiv:2103
 Adam: A method for stochastic optimization, arXiv preprintarXiv:1412
 Semi-supervised classification with graph convolutional networks,arXiv preprint arXiv:1609
 Gemnet: Universal directional graphneural networks for molecules, arXiv preprint arXiv:2106
 Abc: A big cad model dataset forgeometric deep learning, In The IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 N-body networks: a covariant hierarchical neural network architecture for learningatomic potentials, arXiv preprint arXiv:1803
 Covariantcompositional networks for learning graphs, arXiv preprint arXiv:1801
 Gradient-based learning applied todocument recognition, Proceedings of the IEEE
" Markov chains and mixing times, volume 107", American Mathemat-ical Soc
 Discrete rotation equivariance for point cloud recognition,In 2019 International Conference on Robotics and Automation (ICRA)
 Pointcnn: Convolutionon x-transformed points, Advances in neural information processing systems
 Deep learning 3d shapes usingalt-az anisotropic 2-sphere convolution, In International Conference on Learning Representations
 Fully convolutional networks for semanticsegmentation, In Proceedings of the IEEE conference on computer vision and pattern recognition
 What graph neural networks cannot learn: depth vs width, In InternationalConference on Learning Representations
 Provably powerful graphnetworks, arXiv preprint arXiv:1905
 Weisfeiler and leman go neural: Higher-order graph neural networks, InProceedings of the AAAI Conference on Artificial Intelligence
 Relational pooling forgraph representations, In International Conference on Machine Learning
 Janossy pool-ing: Learning deep permutation-invariant functions for variable-size inputs, arXiv preprintarXiv:1811
 Learning convolutional neural networksfor graphs, In Maria Florina Balcan and Kilian Q
 Approximation theory of the mlp model in neural networks, Acta numerica
 Lecture notes on information theory, Lecture Notes for ECE563(UIUC) and
 Pointnet: Deep learning on point setsfor 3d classification and segmentation, In Proceedings of the IEEE conference on computer visionand pattern recognition
 Pointnet++: Deep hierarchical feature learningon point sets in a metric space, arXiv preprint arXiv:1706
 Group equivariant stand-alone self-attention forvision, In ICLR
 E (n) equivariant graph neural networks,arXiv preprint arXiv:2102
 On universal equivariant set networks, arXiv preprintarXiv:1910
 Rotation invariant graph neural networks using spin convolutions, arXivpreprint arXiv:2106
Tensor field networks: Rotation-and translation-equivariant neural networks for 3d point clouds,arXiv preprint arXiv:1802
Dynamic graph cnn for learning on point cloUds,(2018)
 3d steerable cnns:Learning rotationally eqUivariant featUres in volUmetric data, arXiv preprint arXiv:1807
 CUbenet: EqUivariance to 3d rotation and translation, InProceedings of the European Conference on Computer Vision (ECCV)
 Harmonicnetworks: Deep translation and rotation eqUivariance, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Endowingdeep 3d models with rotation invariance based on principal component analysis, In 2020 IEEEInternational Conference on Multimedia and Expo (ICME)
 How powerfUl are graph neUralnetworks? arXiv preprint arXiv:1810,00826
 Spidercnn: Deep learning on point setswith parameterized convolUtional filters, In Proceedings of the European Conference on ComputerVision (ECCV)
 Universal approximations of invariant maps by neUral networks, ConstructiveApproximation
 Deep positional and relational featUrelearning for rotation-invariant point cloUd analysis, In European Conference on Computer Vision
 Deep sets, arXiv preprint arXiv:1703
 Rotation invariant convolutionsfor 3d point clouds deep learning, In 2019 International Conference on 3D Vision (3DV)
