论文题目,会议名称
 Differentiable MPC forend-to-end planning and control, arXiv preprint arXiv:1810
 Generalized Kalmansmoothing: Modeling and algorithms, Automatica
 (2002), Stability theory of dynamical systems
 Convex optimization, Cambridge universitypress
 Extracting spatial-temporalcoherent patterns in large-scale neural recordings using dynamic mode decomposition, Journalof neuroscience methods
 Discovering governing equations from databy sparse identification of nonlinear dynamical systems, Proceedings of the national academy ofsciences
 Importance weighted autoencoders, arXivpreprint arXiv:1509
 Data-driven discoveryof coordinates and governing equations, Proceedings of the National Academy of Sciences
 Learning neural event functions for ordinary differ-ential equations, arXiv preprint arXiv:2011
 Neural ordinary differentialequations, arXiv preprint arXiv:1806
 Neural population dynamics during reaching, Nature
" Adaptive, locally linear models of complexdynamics", Proceedings of the National Academy of Sciences
 A tutorial on particle filtering and smoothing: Fifteen yearslater, Handbook of nonlinear filtering
 Unsupervised learning of control signals andtheir encodings in Caenorhabditis elegans whole-brain recordings, Journal of the Royal SocietyInterface
 Simplified minimal gated unit variations for recurrent neuralnetworks, In 2017 IEEE 60th International Midwest Symposium on Circuits and Systems (MWS-CAS)
 Scalable Bayesian GPFA withautomatic relevance determination and discrete noise models, Advances in Neural InformationProcessing Systems
" When is a linear control system optimal?Karush, W (2014)", Minima of Functions of Several Variables with Inequalities as Side Conditions
 Identifying nonlineardynamical systems via generative recurrent neural networks with applications to fmri, PLoScomputational biology
 Nonlinear programming, In Traces and emergence ofnonlinear programming
 Dynamic mode decomposition:data-driven modeling of complex systems, SIAM
 Iterative linear quadratic regulator design for nonlinear biologicalmovement systems, In ICINCO(1)
 Bayesianlearning and inference in recurrent switching linear dynamical systems, In Artificial Intelligenceand Statistics
 Nonlinear control in the nematode C, elegans
 NonhumanPrimate Reaching with Multichannel Sensorimotor Cortex Electrophysiology: broadband forindyN0160630_01, This research was supported by the Congressionally Directed Medical Re-search Program (W81XWH-14-1-0510)
" M, Kaufman, M T, Ryu, S I, Hochberg, L R, et al", (2018)
 Neural latents benchmark’21: Evaluating latentvariable models of neural population activity, arXiv preprint arXiv:2109
 Generalizing Koopman theory to allow forinputs and control, SIAM Journal on Applied Dynamical Systems
 Non-reversible Gaussian pro-cesses for identifying latent dynamical structure in neural data, Advances in Neural InformationProcessing Systems
 Dynamic mode decomposition of numerical and experimental data, Journalof fluid mechanics
 The unscented Kalman filter, Kalmanfiltering and neural networks
