论文题目,会议名称
 Tamingthe monster: A fast and simple algorithm for contextual bandits, In International Conference onMachine Learning
 Flambe: Structural complexityand representation learning of low rank mdps, Advances in Neural Information Processing Systems
 Policy search by dynamicprogramming, In Advances in Neural Information Processing Systems
 Large-scale study of curiosity-driven learning, In International Conference on Learning Representations
 Exploration by random networkdistillation, In International Conference on Learning Representations
 Unifying PAC and regret: Uniform PAC boundsfor episodic reinforcement learning, In Advances in Neural Information Processing Systems
 On oracle-efficient PAC RL with rich observations, In Advances in Neural InformationProcessing Systems
 Discovering and removing exogenousstate variables and rewards for reinforcement learning, arXiv preprint arXiv:1806
Provably efficient RL with rich observations via latent state decoding, In International Conferenceon Machine Learning
 Reinforcement learning with trajectory feedback,In Proceedings of the AAAI Conference on Artificial Intelligence
 Deepmdp:Learning continuous latent space models for representation learning, In International Conferenceon Machine Learning
 Equivalence notions and model minimization inmarkov decision processes, Artificial Intelligence
 Variational intrinsic control, arXivpreprint arXiv:1611
 Learning latent dynamics for planning from pixels, In International Conference onMachine Learning
 Contex-tual decision processes with low Bellman rank are PAC-learnable, In International Conference onMachine Learning
 Approximately optimal approximate reinforcement learning, InInternational Conference on Machine Learning
 The epoch-greedy algorithm for multi-armed bandits with sideinformation, In Advances in Neural Information Processing Systems
 Curl: Contrastive unsupervised representationsfor reinforcement learning, In International Conference on Machine Learning
 Kinematic state abstrac-tion and provably efficient rich-observation reinforcement learning, In International conference onmachine learning
 Sample complexity of reinforcementlearning using linearly combined model ensembles, In International Conference on ArtificialIntelligence and Statistics
 Planning from pixels using inverse dynamicsmodels, In International Conference on Learning Representations
 Curiosity-driven exploration byself-supervised prediction, In International Conference on Machine Learning
 Online convex optimization in adversarial markov decisionprocesses, In International Conference on Machine Learning
 Proximal policyoptimization algorithms, arXiv:1707
 Adaptive trust region policy optimization: Globalconvergence and faster rates for regularized mdps, In Proceedings of the AAAI Conference onArtificial Intelligence
 #Exploration: A study of count-based explorationfor deep reinforcement learning, In Advances in Neural Information Processing Systems
 Learninginvariant representations for reinforcement learning without reconstruction, arXiv preprintarXiv:2006
 Learninginvariant representations for reinforcement learning without reconstruction, In InternationalConference on Learning Representations
