论文题目,会议名称
 Information dropout: Learning optimal representationsthrough noisy computation, IEEE transactions on pattern analysis and machine intelligence
 Learning representations for neural network-based clas-sification using the information bottleneck principle, IEEE transactions on pattern analysis andmachine intelligence
 Explaining deep neural networks with a poly-nomial time algorithm for shapley value approximation, In International Conference on MachineLearning
 A closerlook at memorization in deep networks, In International Conference on Machine Learning
 A game-theoretic taxonomy ofvisual concepts in dnns, arXiv preprint arXiv:2106
 Uci machine learning repository, 
 Stiffness: Anew perspective on generalization in neural networks, arXiv preprint arXiv:1901
 An axiomatic approach to the concept of interaction amongplayers in cooperative games, International Journal of game theory
 Deep residual learning for image recog-nition, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Learning deep representations by mutual information estimationand maximization, In International Conference on Learning Representations
 Explaining explanations: Axiomatic featureinteractions for deep networks, Journal of Machine Learning Research
 Learning multiple layers of features from tiny images,
 Imagenet classification with deep convo-lutional neural networks, In Advances in Neural Information Processing Systems
 Tiny imagenet visual recognition challenge, CS 231N
" On dropout, overfitting, and interaction effectsin deep neural networks", arXiv preprint arXiv:2007
xdeepfm: Combining explicit and implicit feature interactions for recommender systems, InProceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &Data Mining
 A unified approach to interpreting model predictions, In Proceed-ings of the 31st international conference on neural information processing systems
 Consistent individualized feature attribution fortree ensembles, arXiv preprint arXiv:1802
Towards deep learning models resistant to adversarial attacks, In International Conference onLearning Representations
 On the number of linearregions of deep neural networks, In Advances in Neural Information Processing Systems
 Exploring gener-alization in deep learning, In Advances in Neural Information Processing Systems
 Sensitivity and generalization in neural networks: an empirical study, arXiv preprintarXiv:1802
 On the number of response regions of deepfeed forward networks with piece-wise linear activations, arXiv preprint arXiv:1312
 The hessianpenalty: A weak prior for unsupervised disentanglement, In Computer Vision-ECCV 2020: 16thEuropean Conference
" Towards axiomatic, hierarchical,and symbolic explanation for deep models", arXiv preprint arXiv:2111
 Game-theoretic understanding of adversarially learned features, arXivpreprint arXiv:2103
" Berg, and Li Fei-Fei",ImageNet Large Scale Visual Recognition Challenge
 Opening the black box of deep neural networks via informa-tion, arXiv preprint arXiv:1703
 Very deep convolutional networks for large-scale imagerecognition, In International Conference on Learning Representations
Autoint: Automatic feature interaction learning via self-attentive neural networks, In Proceed-ings of the 28th ACM International Conference on Information and Knowledge Management
 Axiomatic attribution for deep networks, InInternational Conference on Machine Learning
 The shapley taylor interactionindex, In International Conference on Machine Learning
 Detecting statistical interactions from neural networkweights, In International Conference on Learning Representations
 Neural in-teraction transparency (nit): Disentangling learned interactions for improved interpretability, Ad-vances in Neural Information Processing Systems
 Feature inter-action interpretability: A case for explaining ad-recommendation systems via neural interactiondetection, In International Conference on Learning Representations
 Interpreting attributions andinteractions of adversarial attacks, In Proceedings of the IEEE/CVF International Conference onComputer Vision
 A unifiedapproach to interpreting and boosting adversarial transferability, In International Conference onLearning Representations
 Evaluating the robustness of neural networks: An extreme value theory approach,arXiv preprint arXiv:1801
 Understanding training and generalization in deep learning by fourier analysis,arXiv preprint arXiv:1808
 Building interpretable interaction trees for deep nlp models, In Proceedingsof the AAAI Conference on Artificial Intelligence
 Interpreting andboosting dropout from a game-theoretic view, In International Conference on Learning Repre-sentations
 Interpreting multivariateshapley interactions in dnns, In Proceedings of the AAAI Conference on Artificial Intelligence
