论文题目,会议名称
"Corrado, Andy Davis, Jeffrey Dean, Matthieu Devin, Sanjay Ghemawat, Ian Goodfellow, AndrewHarp, Geoffrey Irving, Michael Isard, Yangqing Jia, Rafal Jozefowicz, Lukasz Kaiser, ManjunathKudlur, Josh LeVenberg, Dandelion Mane, Rajat Monga, Sherry Moore, Derek Murray, Chris Olah,Mike Schuster, Jonathon Shlens, Benoit Steiner, Ilya Sutskever, Kunal Talwar, Paul Tucker, VincentVanhoucke, Vijay Vasudevan, Fernanda Viegas, Oriol Vinyals, Pete Warden, Martin Wattenberg,Martin Wicke, Yuan Yu, and Xiaoqiang Zheng", TensorFlow: Large-scale machine learning onheterogeneous systems
 Neural networks and deep learning, Springer
" Deep learning, volume 1", MIT pressMassachusetts
 Mxnet: A flexible and efficient machine learning library forheterogeneous distributed systems, arXiv preprint arXiv:1512
 Christiansen and Stephan Hoyer,	tf
" Generative deep learning: teaching machines to paint, write, compose, and play",O’Reilly Media
" Harris, K Jarrod Millman, Stefan J van der Walt, Ralf Gommers, Pauli Virtanen, DavidCournapeau, Eric Wieser, Julian Taylor, Sebastian Berg, Nathaniel J Smith, Robert Kern, MattiPicus, Stephan Hoyer, Marten H van Kerkwijk, Matthew Brett, Allan Haldane, Jaime Ferngndezdel R^o, Mark Wiebe, Pearu Peterson, Pierre Gerard-Marchant, Kevin Sheppard, Tyler Reddy,Warren Weckesser, Hameer Abbasi, Christoph Gohlke, and Travis E", Oliphant
 Vision permu-tator: A permutable mlp-like architecture for visual recognition, arXiv preprint arXiv:2106
 xarray: N-D labeled arrays and datasets in Python, Journal of OpenResearch Software
" Implementation of ""attention is all you need"" paper", https://github
 A programming language, In Proceedings of the May 1-3
 Highly accurateprotein structure prediction with alphafold, Nature
" Glow, official implementation", https://github
 Nemo: a toolkit for bUilding aiapplications Using neUral modUles, arXiv preprint arXiv:1909
 Pay attention to mlps, Advances in NeuralInformation Processing Systems
" Toolbox, symbolic math and others", Mathworks Inc
 namedtensor python package, https://github
 NUmpy broadcasting rUles, https://numpy
 CUpy: A nUmpy-compatible library for nVidia gpU calcUlations, In Proceedings of Workshop on Machine LearningSystems (LearningSys) in The Thirty-first Annual Conference on Neural Information Process-ing Systems (NIPS)
" Pytorch: An imperatiVe style, high-performance deep learning library", In H
"Johnson, Jonathan Ragan-Kelley, and DoUgal MaclaUrin", Getting to the point: Index sets andparallelism-preserVing aUtodiff for pointfUl array programming
 DocUmentation for Pytorch named tensors, https://pytorch
 Chainer: A deep learning frameworkfor accelerating the research cycle, In Proceedings of the 25th ACM SIGKDD InternationalConference on Knowledge Discovery & Data Mining
 Mlp-mixer: Anall-mlp architecture for vision, Advances in Neural Information Processing Systems
 Resmlp: Feedforwardnetworks for image classification with data-efficient training, arXiv preprint arXiv:2105
 Python 3 Reference Manual, CreateSpace
 Tensor comprehen-sions: Framework-agnostic high-performance machine learning abstractions, arXiv preprintarXiv:1802
 Matog: Array layout auto-tuning for cuda, ACM Transactionson Architecture and Code Optimization (TACO)
 Cvt:Introducing convolutions to vision transformers, In Proceedings of the IEEE/CVF InternationalConference on Computer Vision
" For illustrative purpose let us discuss differentpossible scenarios how labeled axes could be added to convolution:•	Should convolution stick to existing behavior and rely on axes order not names? If so, we get noadditional checks, but create potential problems since axes names are required in other operations(e",g
