论文题目,会议名称
 End-to-end differentiable learning of protein structure, Cell systems
 Geom: Energy-annotated molecular conformationsfor property prediction and molecular generation, arXiv preprint arXiv:2006
 Se (3)-equivariant graph neural networks for data-efficient and accurateinteratomic potentials, arXiv preprint arXiv:2101
 Implicit functions in feature space for 3dshape reconstruction and completion, In Proceedings of the IEEE/CVF Conference on ComputerVision and Pattern Recognition
 Non-equilibrium thermodynamics, Courier Corporation
 Density estimation using Real NVP, InICLR
 Convolutional networks on graphs for learning molecularfingerprints, In Advances in neural information processing systems
 Se(3)-transformers: 3d roto-translation equivariant attention networks, NeurIPS
 Geomol: Torsional geometric generation of molecular3d conformer ensembles, arXiv preprint arXiv:2106
 Inverse design of 3d molecular structures with conditional generative neural networks,arXiv preprint arXiv:2109
 Neuralmessage passing for quantum chemistry, In Proceedings of the 34th International Conference onMachine Learning-Volume 70
" Gogineni, Ziping Xu, Exequiel Punzalan, Runxuan Jiang, Joshua A Kammeraad, Ambuj Tewari,and P", Zimmerman
 Merck molecular force field, v
 Conformation generation: the state of the art, Journal of Chemical Informationand Modeling
 A baseline for detecting misclassified and out-of-distributionexamples in neural networks, arXiv preprint arXiv:1610
 Denoising diffusion probabilistic models, arXiv preprintarXiv:2006
 Forcenet: A graph neural network for large-scale quantumchemistry simulation, 
 Learning protein structurewith a differentiable simulator, In International Conference on Learning Representations
 Junction tree variational autoencoder formolecular graph generation, arXiv preprint arXiv:1802
Learning from protein structure with geometric vector perceptrons, In International Conference onLearning Representations
 Highly accurateprotein structure prediction with alphafold, Nature
 A solUtion for the best rotation to relate two sets of vectors, Acta CrystallographicaSection A: Crystal Physics
 AUto-encoding variational bayes, In 2nd InternationalConference on Learning Representations
 EqUivariant flows: Exact likelihood generative learning forsymmetric densities, In Proceedings of the 37th International Conference on Machine Learning
 EUclidean distance geometryand applications, SIAM review
 DiffUsion probabilistic models for 3d point cloUd generation, ArXiv
 Predicting molecUlar conformation via dynamicgraph score matching, Advances in Neural Information Processing Systems
 MolecUlar geometryprediction Using a deep generative graph neUral network, arXiv preprint arXiv:1904
 Relevance of rotationally eqUivariant ConvoIUtions forpredicting molecUlar properties, ArXiv
 Boltzmann generators: Sampling eqUilibriUmstates of many-body systems with deep learning, Science
 QUantUmchemistry strUctUres and properties of 134 kilo molecUles, Scientific data
 LandrUm, Better informed distance geometry: Using what we knowto improve conformation generation
 E (n)eqUivariant normalizing flows for molecUle generation in 3d, arXiv preprint arXiv:2105
"11Published as a conference paper at ICLR 2022Victor Garcia Satorras, Emiel Hoogeboom, and Max Welling", E(n) equivariant graph neural networks
 Improved proteinstructure prediction using potentials from deep learning, Nature
 Graphaf: aflow-based autoregressive model for molecular graph generation, arXiv preprint arXiv:2001
 Learning gradient fields for molecularconformation generation, ArXiv
 Rotation invariant graph neural networks using spin convolutions, arXivpreprint arXiv:2106
 A generative model for molecular distancegeometry, In Hal DaUme III and Aarti Singh (eds
 C, Simm
 A, Smith
 Deep unsupervisedlearning using nonequilibrium thermodynamics, arXiv preprint arXiv:1503
 Denoising diffusion implicit models, arXivpreprint arXiv:2010
 Generative modeling by estimating gradients of the data distribution,In Advances in Neural Information Processing Systems
 Improved techniques for training score-based generative models,NeurIPS
" Thomas, T", Smidt
" Weiler, M", Geiger
 Learning neural generativedynamics for molecular conformation generation, In International Conference on LearningRepresentations
 An end-to-end framework for molecular conformation generation via bilevelprogramming, arXiv preprint arXiv:2105
 Deep Potential MolecularDynamics: A Scalable Model with the Accuracy of Quantum Mechanics, Physical Review Letters
 Direct molecular conformation generation, arXiv preprintarXiv:2202
