论文题目,会议名称
 Expressive power of invariant and equivariant graph neural networks,In International Conference on Learning Representations (ICLR)
 Canonical labelling of graphs in linear average time, In 20th AnnualSymposium on Foundations ofComputer Science (SFCS)
 Shortest-path kernels on graphs, In Fifth IEEEinternational conference on data mining (ICDM’05)
 Improving graphneural network expressivity via subgraph isomorphism counting, arXiv preprint arXiv:2006
 An optimal lower bound on the number of variablesfor graph identification, Combinatorica
 Toward an architecture for never-ending language learning, In Proceedings of the AAAIConference on Artificial Intelligence (AAAI)
 Measuring and relieving the over-smoothing problem for graph neural networks from the topological view, In Proceedings of theAAAI Conference on Artificial Intelligence (AAAI)
 Principalneighbourhood aggregation for graph nets, Advances in Neural Information Processing Systems(NeurIPS)
 Natural graph networks, arXiv preprintarXiv:2007
 Structure-activity relationship of mutagenic aromatic and heteroaromatic nitro compounds,correlation with molecular orbital energies and hydrophobicity
 Graph neural tangent kernel: Fusing graph neural networks with graph kernels, arXiv preprintarXiv:1905
 A fair comparison of graphneural networks for graph classification, 2020
 Neuralmessage passing for quantum chemistry, In International Conference on Machine Learning (ICML)
" Descriptive complexity, canonisation, and definable graph structure theory, volume 47",Cambridge University Press
 Inductive representation learning on large graphs, InAdvances in Neural Information Processing Systems (NeurIPS)
 Open graph benchmark: Datasets for machine learning on graphs, Advances inNeural Information Processing Systems (NeurIPS)
 Graph warp module: an auxiliarymodule for boosting the power of graph neural networks in molecular graph analysis, arXivpreprint arXiv:1902
 Universal invariant and equivariant graph neural networks, InAdvances in Neural Information Processing Systems (NeurIPS)
 Adam: A method for stochastic optimization, In InternationalConference on Learning Representations (ICLR)
 Semi-supervised classification with graph convolutional networks,In International Conference on Learning Representations (ICLR)
 On valid optimal assignment kernelsand applications to graph classification, In Advances in Neural Information Processing Systems(NeurIPS)
 Deeper insights into graph convolutional networks forsemi-supervised learning, In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI)
 Neural subgraphisomorphism counting, In Proceedings of the 26th ACM SIGKDD International Conference onKnowledge Discovery & Data Mining
 What graph neural networks cannot learn: depth vs width, In InternationalConference on Learning Representations (ICLR)
 Invariant and equivariant graphnetworks, In International Conference on Learning Representations (ICLR)
 Provably powerful graphnetworks, Advances in Neural Information Processing Systems (NeurIPS)
 Motifnet: a motif-based graph convolutionalnetwork for directed graphs, In 2018 IEEE Data Science Workshop (DSW)
 Weisfeiler and leman go neural: Higher-order graph neural networks,In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI)
 Weisfeiler and leman go sparse: Towardsscalable higher-order graph embeddings, Advances in Neural Information Processing Systems(NeurIPS)
 Relational pooling forgraph representations, In International Conference on Machine Learning (ICML)
 Matching node embeddingsfor graph similarity, In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI)
 Geom-gcn: Geometricgraph convolutional networks, In International Conference on Learning Representations (ICLR)
 A persistent weisfeiler-lehman procedure forgraph classification, In International Conference on Machine Learning (ICML)
 A survey on the expressive power of graph neural networks, arXiv preprintarXiv:2003
 Random features strengthen graph neuralnetworks, In Proceedings of the 2021 SIAM International Conference on Data Mining (SDM)
 Weisfeiler-lehman graph kernels, Journal of Machine Learning Research
 Spline-fitting with a genetic algorithm:A method for developing classification structure- activity relationships, Journal of chemicalinformation and computer sciences
 Optimal transport for structureddata with application on graphs, In International Conference on Machine Learning (ICML)
Wasserstein weisfeiler-lehman graph kernels, In Advances in Neural Information ProcessingSystems (NeurIPS)
 Graph attention networks, International Conference on Learning Representations (ICLR)
 Building powerful and equivariant graphneural networks with structural message-passing, In Advances in Neural Information ProcessingSystems (NeurIPS)
 Comparison of descriptor spaces for chemicalcompound retrieval and classification, Knowledge and Information Systems
 The reduction of a graph to canonical form and the algebrawhich appears therein, NTI
 Dfnets: Spectral cnns for graphs with feedback-looped filters,Advances in neural information processing systems (NeurIPS)
 Demo-net: Degree-specific graph neural networks for nodeand graph classification, In Proceedings of the 25th ACM SIGKDD International Conference onKnowledge Discovery & Data Mining
 Capsule graph neural network, In International conference on learningrepresentations (ICLR)
 Representation learning on graphs with jumping knowledge networks, In InternationalConference on Machine Learning (ICML)
 Deep graph kernels, In Proceedings of the 21th ACMSIGKDD international conference on knowledge discovery and data mining
 Identity-aware graph neuralnetworks, In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI)
 Weisfeiler-lehman neural machine for link prediction, In Proceedingsof the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
 An end-to-end deep learning archi-tecture for graph classification, In Proceedings of the AAAI Conference on Artificial Intelligence(AAAI)
 Retgk: Graph kernelsbased on return probabilities of random walks, In Advances in Neural Information ProcessingSystems (NeurIPS)
 Pairnorm: Tackling oversmoothing in gnns, In InternationalConference on Learning Representations (ICLR)
"	Connections to Previous WorkIn the following, we discuss how our framework generalizes the existing message-passing GNNsin the literature such as GCN (Kipf & Welling, 2017), GraphSAGE (Hamilton et al",
