论文题目,会议名称
" Image2stylegan: How to embed images into theStyleGAN latent space? In Proceedings of the IEEE international conference on computer vision,pp", 4432-4441
 StyleFlow: attribute-conditioned ex-ploration of StyleGAN-generated images using conditional continuous normalizing flows, arXivpreprint arXiv:2008
 Neuralbest-buddies: Sparse cross-domain correspondence, ACM Transactions on Graphics (TOG)
 Network Dissection:quantifying interpretability of deep visual representations, In Proc
 stylegan-encoder, https://github
 FreezeG, https://github
 A closerlook at few-shot classification, arXiv preprint arXiv:1904
 Star-GAN: Unified generative adversarial networks for multi-domain image-to-image translation, InProceedings of the IEEE conference on computer vision and pattern recognition
 StarGAN v2: Diverse image synthesisfor multiple domains, In Proceedings of the IEEE/CVF Conference on Computer Vision andPattern Recognition
 Bert: Pre-training of deepbidirectional transformers for language understanding, arXiv preprint arXiv:1810
 Image morphing withperceptual constraints and STN alignment, Computer Graphics Forum
 Scaling-up disentanglement for image translation, arXiv preprintarXiv:2103
 StyleGAN-NADA:CLIP-guided domain adaptation of image generators, arXiv preprint arXiv:2108
 Generative adversarial nets, In Advances in neural infor-mation processing systems
 Collaborativelearning for faster StyleGAN embedding, arXiv preprint arXiv:2007
 GANSpace: Discoveringinterpretable GAN controls, arXiv preprint arXiv:2004
 Rethinking imagenet pre-training, In Proceedings ofthe IEEE/CVF International Conference on Computer Vision
 Momentum contrast forunsupervised visual representation learning, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Multimodal unsupervised image-to-image translation, In ECCV
 Image-to-image translation withconditional adversarial networks, In Proceedings of the IEEE conference on computer vision andpattern recognition
 On the “steerability” of generative adversarial networks,arXiv preprint arXiv:1907
 A style-based generator architecture for generativeadversarial networks, In Proc
 Traininggenerative adversarial networks with limited data, In Proc
 Analyz-ing and improving the image quality of StyleGAN, In Proc
 Measur-ing catastrophic forgetting in neural networks, In Proceedings of the 32nd AAAI Conference onArtificial Intelligence
 Learning to discovercross-domain relations with generative adversarial networks, In International Conference on Ma-chine Learning
 Overcom-ing catastrophic forgetting in neural networks, Proceedings of the national academy of sciences
 Unsupervised image-to-image translation via pre-trainedStyleGAN2 network, IEEE Transactions on Multimedia
 Maskgan: Towards diverse and interactivefacial image manipulation, In Proceedings of the IEEE/CVF Conference on Computer Vision andPattern Recognition
 Few-shot image generation with elasticweight consolidation, arXiv preprint arXiv:2012
 Generative adversarial networktraining is a continual learning problem, arXiv preprint arXiv:1811
 Unsupervised image-to-image translation networks,In Advances in neural information processing systems
Few-shot unsupervised image-to-image translation, In IEEE International Conference on Com-puter Vision (ICCV)
 Learning to predict layout-to-image condi-tional convolutions for semantic image synthesis, In Advances in Neural Information ProcessingSystems
 Seitz,Time-travel rephotography
 Cohen, Catastrophic interference in connectionist networks: Thesequential learning problem
 Freeze the discriminator: a simple baseline for fine-tuning GANs, arXiv preprint arXiv:2002
 Face identity disentanglementvia latent space mapping, ACM Trans
 LARGE: Latent-based regressionthrough GAN semantics, arXiv preprint arXiv:2107
 Few-shot image generation via cross-domain correspondence, arXiv preprintarXiv:2104
 A survey on transfer learning, IEEE Transactions on knowledgeand data engineering
 Semantic image synthesis withspatially-adaptive normalization, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Contrastive learning for unpairedimage-to-image translation, In European Conference on Computer Vision
 StyleCLIP: Text-driven manipulation of StyleGAN imagery, arXiv preprint arXiv:2103
 Adversarial latent autoencoders,In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Resolution dependant GAN interpolation for controllableimage synthesis between domains, arXiv preprint arXiv:2010
 Improving language under-standing by generative pre-training, preprint
 Encoding in style: a StyleGAN encoder for image-to-image translation, InProc
 Continual learning in generative adversarial nets,arXiv preprint arXiv:1705
 Interpreting the latent space of GANs forsemantic face editing, In Proc
 InterFaceGAN: interpreting the disentan-gled face representation learned by GANs, arXiv preprint arXiv:2005
 AgileGAN: stylizing portraits by inversion-consistent transfer learning, ACM Transactionson Graphics (TOG)
 StyleRig: Rigging StyleGAN for 3d controlover portrait images, arXiv preprint arXiv:2004
 Catastrophic forgetting and mode collapse in GANs, In 2020International Joint Conference on Neural Networks (IJCNN)
 Transfer learning, In Handbook of research on machine learningapplications and trends: algorithms
 Designing an encoderfor StyleGAN image manipulation, arXiv preprint arXiv:2102
 High-resolution image synthesis and semantic manipulation with conditional GANs, In Proceedings ofthe IEEE conference on computer vision and pattern recognition
 Deep network interpola-tion for continuous imagery effect transition, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Transferring GANs: generating images from limited data, In Proceedings of theEuropean Conference on Computer Vision (ECCV)
 MineGAN: effective knowledge transfer from GANs to target domains with fewimages, In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recogni-tion
 Deepfake, https://en
 Image morphing: a survey, The Visual Computer
 StyleSpace analysis: Disentangled controls forStyleGAN image generation, arXiv:2011
 Unified perceptual parsing forscene understanding, In Proc
 How transferable are features in deepneural networks? In Z, Ghahramani
 BiSeNet: Bilat-eral segmentation network for real-time semantic segmentation, In Proceedings of the Europeanconference on computer vision (ECCV)
 LifelongGAN: Continual learning for conditional image generation, In Proceedings of the IEEE/CVFInternational Conference on Computer Vision
 The spatially-correlative loss for various imagetranslation tasks, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 In-domain GAN inversion for real imageediting, arXiv preprint arXiv:2004
 Efros, Generative visual manipula-tion on the natural image manifold
 Unpaired image-to-image translationusing cycle-consistent adversarial networks, In Proc
 Toward multimodal image-to-image translation, In Advances in Neural InformationProcessing Systems
 SEAN: Image synthesis with semanticregion-adaptive normalization, In Proceedings of the IEEE/CVF Conference on Computer Visionand Pattern Recognition
