论文题目,会议名称
" Counterfactual probabilities: Computational methods, boundsand applications", In UAI
 Cophy: Counter-factual learning of physical dynamics, In International Conference on Learning Representations
"Interaction networks for learning about objects, relations and physics", In Proceedings of the 30thInternational Conference on Neural Information Processing Systems
 Evaluating Multiple Object Tracking Performance: TheCLEAR MOT Metrics, EURASIP Journal on Image and Video Processing
 Learning phrase representations using RNN encoder-decoderfor statistical machine translation, In Conference on Empirical Methods in Natural LanguageProcessing
 Deep learning for physical processes:Incorporating prior scientific knowledge, In International Conference on Learning Representa-tions
 Unsupervised learning of disentangled representationsfrom video,"ArXiv, abs/1705"
 Unsupervised learning for physical interactionthrough video prediction, In Proceedings of the 30th International Conference on Neural Infor-mation Processing Systems
 Human3,6m: Large scaledatasets and predictive methods for 3d human sensing in natural environments
 Deep kkl: Data-driven outputprediction for non-linear systems, In Conference on Decision and Control (CDC21)
Unsupervised learning of object keypoints for perception and control,In Advances in Neural Information Processing Systems 32: Annual Conference on Neural Information Processing Systems 2019
 Disentangling physical dynamics from unknown factors forunsupervised video prediction, In Computer Vision and Pattern Recognition (CVPR)
 Learning physical intuition of block towers by example,In Proceedings of the 33rd International Conference on International Conference on MachineLearning - Volume 48
 Causal discov-ery in physical systems from videos, Advances in Neural Information Processing Systems
 Object-centric learning with slot attention," ArXiv, abs/2006"
 Flexible spatio-temporal networks forvideo prediction, In 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Deep learning for universal linear embeddingsof nonlinear dynamics, Nature Communications
 kpam: Keypoint affordances forcategory-level robotic manipulation," ArXiv, abs/1903"
 Keypoints into the future: Self-supervised correspondence in model-based reinforcement learning, CoRR
" Tubes, tables and traps: great apes solve twofunctionally equivalent trap tasks but show no evidence of transfer across tasks", Animal cognition
 Deep multi-scale video prediction beyondmean square error, In 4th International Conference on Learning Representations
 Unsupervised learning of object structure and dynamics from videos," ArXiv, abs/1906"
" Causality: Models, Reasoning and Inference", Cambridge University Press
 Causal and counterfactual inference, The Handbook of Rationality
 Deep learning-based luenberger observer design for discrete-timenon-linear systems, In Conference on Decision and Control (CDC21)
 Toward causal representation learning, Proceedings ofthe IEEE
 Unsupervised learning of videorepresentations using lstms, In Proceedings of the 32nd International Conference on InternationalConference on Machine Learning - Volume 37
 Discoveryof latent 3d keypoints via end-to-end geometric reasoning, In NeurIPS 2018
  Entity abstraction in visual model-based reinforcementlearning,  In Proceedings of the Conference on Robot Learning
 Decomposing motionand content for natural video sequence prediction, In ArXiv
 Learningto generate long-term future via hierarchical prediction, In ICML
 Generating videos with scene dynamics,In Proceedings of the 30th International Conference on Neural Information Processing Systems
The pose knows: Video forecastingby generating pose futures,2017 IEEE International Conference on Computer Vision (ICCV)
 Predrnn: Recurrentneural networks for predictive learning using spatiotemporal lstms, In I
 Learning to see physicsvia visual de-animation, In Advances in Neural Information Processing Systems
 CLEVRER: collision events for video representation and reasoning, In ICLR
 Augmenting Physical Models with Deep Networks for Com-plex Dynamics Forecasting, In International Conference on Learning Representations (ICLR)
Predicting future frames using retrospective cycle gan,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
