论文题目,会议名称
 Uncertainty-based continual learningwith adaptive regularization, In Advances in Neural Information Processing Systems (NeurIPS)
 Gradient based sample selectionfor online continual learning, In Advances in Neural Information Processing Systems (NeurIPS)
 Possible principles underlying the transformations of sensory messages, 1961
" Signatureverification using a ""siamese"" time delay neural network", 1994
Unsupervised learning of visual features by contrasting cluster assignments, In Advances in NeuralInformation Processing Systems (NeurIPS)
 Efficientlifelong learning with a-gem, In Proceedings of the International Conference on Learning Repre-sentations (ICLR)
 Continual learning with tiny episodic memories, arXivpreprint arXiv:1902
 A simple framework forcontrastive learning of visual representations, In Proceedings of the International Conference onMachine Learning (ICML)
 Bigself-supervised models are strong semi-supervised learners, In Advances in Neural InformationProcessing Systems (NeurIPS)
 Exploring simple siamese representation learning, In Proceedings ofthe IEEE International Conference on Computer Vision and Pattern Recognition (CVPR)
 Improved baselines with momentumcontrastive learning, arXiv preprint arXiv:2003
 Imagenet: A large-scalehierarchical image database, In Proceedings of the IEEE International Conference on ComputerVision and Pattern Recognition (CVPR)
 Crosstransformers: spatially-aware few-shottransfer, In Advances in Neural Information Processing Systems (NeurIPS)
 Model-agnostic meta-learning for fast adaptationof deep networks, In Proceedings of the International Conference on Machine Learning (ICML)
 Comparingcontinual task learning in minds and machines, Proceedings of the National Academy of Sciences
 An empirical investi-gation of catastrophic forgetting in gradient-based neural networks, arXiv preprint arXiv:1312
 Bootstrap your own latent - anew approach to self-supervised learning, In Advances in Neural Information Processing Systems(NeurIPS)
 Deep residual learning for imagerecognition, In Proceedings of the IEEE International Conference on Computer Vision and PatternRecognition (CVPR)
 Momentum contrast forunsupervised visual representation learning, In Proceedings of the IEEE International Conferenceon Computer Vision and Pattern Recognition (CVPR)
Key challenges for delivering clinical impact with artificial intelligence, BMC medicine
 Mixco: Mix-up contrastive learningfor visual representation, arXiv preprint arXiv:2010
 Similarity of neuralnetwork representations revisited, In Proceedings of the International Conference on MachineLearning (ICML)
 Learning multiple layers of features from tiny images, University of Toronto
 The mnist database of handwritten digits, http://yann
 i-mix: Adomain-agnostic strategy for contrastive representation learning, In ICLR
 Visualizing the loss landscapeof neural nets, In Advances in Neural Information Processing Systems (NeurIPS)
 Learn to grow: A continualstructure learning framework for overcoming catastrophic forgetting, In Proceedings of theInternational Conference on Machine Learning (ICML)
 Compositional languagecontinual learning, In Proceedings of the International Conference on Learning Representations(ICLR)
 Learning without forgetting, In Proceedings of the EuropeanConference on Computer Vision (ECCV)
 Catastrophic interference in connectionist networks: Thesequential learning problem, In Psychology of learning and motivation
 Readingdigits in natural images with unsupervised feature learning, 2011
Continual unsupervised representation learning, In Advances in Neural Information ProcessingSystems
 icarl:Incremental classifier and representation learning, In Proceedings of the IEEE InternationalConference on Computer Vision and Pattern Recognition (CVPR)
 Experiencereplay for continual learning, In Advances in Neural Information Processing Systems (NeurIPS)
 Progressive neural networks, arXiv preprintarXiv:1606
 Progress & compress: A scalable frame-work for continual learning, In Proceedings of the International Conference on Machine Learning(ICML)
 Un-mix:Rethinking image mixtures for unsupervised visual representation learning, In Proceedings of theAAAI National Conference on Artificial Intelligence (AAAI)
 Unsupervised progressivelearning and the stam architecture, In Proceedings of the International Joint Conference onArtificial Intelligence (IJCAI)
 A Lifelong Learning Perspective for Mobile Robot Control, Elsevier
 Towards domain-agnosticcontrastive learning, In Proceedings of the International Conference on Machine Learning (ICML)
" Yu, and Dahua Lin", Unsupervised feature learning vianon-parametric instance discrimination
 Fashion-mnist: a novel image dataset for benchmarkingmachine learning algorithms, arXiv preprint arXiv:1708
 Lifelong learning with dynamicallyexpandable networks, In Proceedings of the International Conference on Learning Representations(ICLR)
 BarloW twins: Self-supervisedlearning via redundancy reduction, In Proceedings of the International Conference on MachineLearning (ICML)
 Continual learning through synaptic intelligence,In Proceedings of the International Conference on Machine Learning (ICML)
 mixup: Beyond empiricalrisk minimization, In Proceedings of the International Conference on Learning Representations(ICLR)
" In the supplementary material, we provide the implementation details followed bythe hyper-parameter configurations in Appendix A",1
