论文题目,会议名称
 Bertin-Mahieux, YearPredictionMSD
 Vaes in the presence of missing data,arXiv preprint arXiv:2006
" De Vito, E", Massera
 Variational in-ference via χ upper bound minimization, In Advances in Neural Information Processing Systems
 Generative adversarial nets, Advances in neural informationprocessing systems
 Combining generative models and fisher kernelsfor object recognition, In Tenth IEEE International Conference on Computer Vision (ICCV’05)Volume 1
 Exploiting generative models in discriminative classifiers, InAdvances in neural information processing systems
 Stochastic variational inference via upper bound, In NeurIPS workshopon Bayesian Deep Learning
 An introductionto variational methods for graphical models, Machine learning
 Adam: A method for stochastic optimization, arXiv preprintarXiv:1412
 Auto-encoding variational bayes, In International Conferenceon Learning Representations
 Semi-supervisedlearning with deep generative models, Advances in neural information processing systems
" Applied predictive modeling, volume 26", Springer
 Neural variational inference and learning in undirectedgraphical models, In Advances in Neural Information Processing Systems
 Principled hybrids of generativeand discriminative models, In 2006 IEEE Computer Society Conference on Computer Vision andPattern Recognition (CVPR’06)
 Decision-makingwith auto-encoding variational bayes, arXiv preprint arXiv:2002
 Leveraging the exact likelihood of deep latent variablemodels, In Advances in Neural Information Processing Systems
 Expectation propagation for approximate bayesian inference, In Proceedings ofthe Seventeenth conference on Uncertainty in artificial intelligence
 Hybriddiscriminative-generative approach with gaussian processes, In Artificial Intelligence and Statis-tics
 Ahybrid generative/discriminative classification framework based on free-energy terms, In 2009IEEE 12th International Conference on Computer Vision
 Challenges in computing and opti-mizing upper bounds of marginal likelihood based on chi-square divergences, In Symposium onAdvances in Approximate Bayesian Inference
 Variational inference with normalizing flows, arXivpreprint arXiv:1505
 Inference and missing data, Biometrika
 Processingof missing data by neural networks, In Advances in Neural Information Processing Systems
 Kernel methods for missing vari-ables, In AISTATS
 Learning structured output representation usingdeep conditional generative models, Advances in neural information processing systems
 Good methods for coping with missing data in decisiontrees, Pattern Recognition Letters
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning, Machine learning
 Advances in variationalinference, IEEE transactions on pattern analysis and machine intelligence
 Adabelief optimizer: Adapting stepsizes by the belief in ob-served gradients, arXiv preprint arXiv:2010
" The green line shows the sizeof the stochastic term wθ,ψ,ξ(u, z) after the transformation, whereas the blue dashed line shows theoriginal size",A ProofsA
