论文题目,会议名称
 Analogs of linguistic structure in deep representations, In Proceed-ings of the 2017 Conference on Empirical Methods in Natural Language Processing
 Neural machine translation by jointlylearning to align and translate, In ICLR
 Network dissection:Quantifying interpretability of deep visual representations, In Computer Vision and PatternRecognition (CVPR)
 Gan dissection: Visualizing and understanding generative adversarial net-works, In International Conference on Learning Representations (ICLR)
Understanding the role of individual units in a deep neural network, Proceedings of the NationalAcademy of Sciences (PNAS)
 An interpretability illusion for bert, arXiv preprint arXiv:2104
 Large scale gan training for high fidelity naturalimage synthesis, In International Conference on Learning Representations
 e-snli: Naturallanguage inference with natural language explanations, arXiv preprint arXiv:1812
 Curvecircuits, Distill
 Emerging properties in self-supervised vision transformers, In Proceedings ofthe International Conference on Computer Vision (ICCV)
What is one grain of sand in the desert? analyzing individual neurons in deep nlp models, InProceedings of AAAI
 Enablingcertification of verification-agnostic netWorks via memory-efficient semidefinite programming, InNeural Information Processing Systems (NeurIPS)
 Imagenet: A large-scalehierarchical image database, In Computer Vision and Pattern Recognition (CVPR)
 Long-term recurrent convolutional netWorks for visualrecognition and description, In Proceedings of the IEEE conference on computer vision and pat-tern recognition
 An im-age is Worth 16x16 Words: Transformers for image recognition at scale, In International Confer-ence on Learning Representations (ICLR)
 Visualizing higher-layerfeatures of a deep netWork, 2009
 Rich feature hierarchies for ac-curate object detection and semantic segmentation, In computer vision and pattern recognition(CVPR)
 Multimodal neurons in artificial neural networks, Distill
" Richemond, ElenaBuchatskaya, Carl Doersch, Bernardo Avila Pires, Zhaohan Daniel Guo, Mohammad Ghesh-laghi Azar, Bilal Piot, Koray Kavukcuoglu, Remi Munos, and Michal Valko", Bootstrap your ownlatent: A new approach to self-supervised learning
 Generating visual explanations, In European conference on computer vision
 Grounding visual expla-nations, In Proceedings of the European Conference on Computer Vision (ECCV)
 Long short-term memory, In Neural computation
" spaCy: Industrial-strength Natural Language Processing in Python, 2020", URL https://doi
 Visualizing and understanding recurrent networks,arXiv preprint arXiv:1506
Interpretability beyond feature attribution: Quantitative testing with concept activation vectors(tcav), In International conference on machine learning (ICML)
 Imagenet classification with deep con-volutional neural networks, In Advances in Neural Information Processing Systems (NeurIPS)
" Fong, and Andrea Vedaldi", Quantifying learnability and describability of visualconcepts emerging in representation learning
 Understanding deep image representations by invertingthem, In computer vision and pattern recognition (CVPR)
 Model cards for model reporting, InProceedings of the conference on fairness
 On the importanceof single directions for generalization, In International Conference on Learning Representations(ICLR)
 Compositional explanations of neurons, In Advances in NeuralInformation Processing Systems
 WT5?! Training text-to-text models to explain their predictions, arXiv preprintarXiv:2004
 Feature visualization, In Distill
 The building blocks of interpretability, In Distill
 Bleu: a method for automaticevaluation of machine translation, In Proceedings of the 40th annual meeting of the Associationfor Computational Linguistics
 Multimodal explanations: Justifying decisions and pointing to theevidence, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
" Pytorch: An imperative style, high-performance deep learning library", In H
 Learning to generate reviews and discoveringsentiment, arXiv preprint arXiv:1704
 Explain yourself!leveraging language models for commonsense reasoning, arXiv preprint arXiv:1906
 Collecting image anno-tations using amazon’s mechanical turk, In Proceedings of the NAACL HLT 2010 Workshop onCreating Speech and Language Data with Amazon’s Mechanical Turk
 Toward a visual concept vocabulary for gan latent space, International Conference onComputer Vision
" Conceptual captions: A cleaned,hypernymed, image alt-text dataset for automatic image captioning", In Proceedings of ACL
 Very deep convolutional networks for large-scale imagerecognition, In International Conference on Learning Representations (ICLR)
 When training and test sets are different: characterizing learning transfer, Datasetshift in machine learning
 A human-centered agenda for intelligible machinelearning, Machines We Trust: Getting Along with Artificial Intelligence
 Towards unique and infor-mative captioning of images, In European Conference on Computer Vision (ECCV)
 Noise or signal: The role ofimage backgrounds in object recognition, arXiv preprint arXiv:2006
" Zemel, and Yoshua Bengio", Show
 A study of face obfusca-tion in imagenet, arXiv preprint arXiv:2103
 Modeling annotators: A generative approach to learning fromannotator rationales, In Proceedings of the 2008 conference on Empirical methods in naturallanguage processing
 Visualizing and understanding convolutional networks, ECCV
 From recognition to cognition: Visualcommonsense reasoning, In Proceedings of the IEEE/CVF Conference on Computer Vision andPattern Recognition
,
net/forum?id=SkeHuCVFDr,Bolei Zhou
Semantic understanding of scenes through the ade20k dataset, International Journal of ComputerVision
