论文题目,会议名称
论文题目,会议名称
 Post-training 4-bit quantization ofconvolution networks for rapid-deployment, arXiv preprint arXiv:1810
 Lsq+: Improvinglow-bit quantization through learnable offsets and better initialization, In Proceedings of theIEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops
 High-capacity expert binary networks,arXiv preprint arXiv:2010
 Deep learning with low precision byhalf-wave gaussian quantization, In Proceedings of the IEEE conference on computer vision andpattern recognition
 A statisticalframework for low-bitwidth training of deep neural networks, arXiv preprint arXiv:2010
 Fxpnet: Training a deep convolutional neuralnetwork in fixed-point representation, In 2017 International Joint Conference on Neural Networks(IJCNN)
 Pact: Parameterized clipping activation for quantized neural networks,arXiv preprint arXiv:1805
 Low-bit quantization of neural networksfor efficient inference, In ICCV Workshops
 Binaryconnect: Training deep neuralnetworks with binary weights during propagations, In Advances in neural information processingsystems
 Pushing the limits of narrowprecision inferencing at cloud scale with microsoft floating point, Advances in Neural InformationProcessing Systems
 Imagenet: A large-scalehierarchical image database, In 2009 IEEE conference on computer vision and pattern recognition
 Hawq: Hessianaware quantization of neural networks with mixed-precision, In Proceedings of the IEEE/CVFInternational Conference on Computer Vision
