论文题目,会议名称
 FAQ: Questions Asked Frequently, InProceedings of the 35th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of DatabaseSystems
 The generalized distributive law, IEEE Transactions on In-formation Theory
 Expressive power of invariant and equivariant graph neural net-works, In Proceedings of the 9th International Conference on Learning Representations
 Breaking the limits of message passing graph neural networks, In Proceedings ofthe 38th International Conference on Machine Learning
 Analyzing the expressive power of graph neural networks in a spectral perspective,In Proceedings of the 9th International Conference on Learning Representations
The logical expressiveness of graph neural networks, In Proceedings of the 8th InternationalConference on Learning Representations
 Graph neural net-works with local graph parameters, In Advances in Neural Information Processing Systems
 Weisfeiler and Lehman go topological: Message passing simpli-cial networks, In Proceedings of the 38th International Conference on Machine Learning
 Improving graphneural network expressivity via subgraph isomorphism counting, In Graph Representation Learn-ing and Beyond (GRL+) Workshop at the 37 th International Conference on Machine Learning
 On the expressive powerof query languages for matrices, ACM TODS
 Spectral networks and lo-cally connected networks on graphs, In Proceedings of the 2nd International Conference onLearning Representations
 An optimal lower bound on the number of variablesforgraphidentifications, Comb
 On the equivalence between graphisomorphism testing and function approximation with GNNs, In Advances in Neural Informa-tion Processing Systems
" Can graph neural networkscount substructures? In Advances in Neural Information Processing Systems, vol-ume 33, 2020", URL https://proceedings
 Princi-pal neighbourhood aggregation for graph nets, In Advances in Neural Information ProcessingSystems
 Fast parallel matrix inversion algorithms, SIAM J
 Homomorphisms are a good basis for countingsmall subgraphs, In Proceedings of the 49th Symposium on Theory of Computing
 A novel higher-order weisfeiler-lehmangraph convolution, In Proceedings of The 12th Asian Conference on Machine Learning
 Convolutional neural networkson graphs with fast localized spectral filtering, In Advances in Neural Information ProcessingSystems
 Weisfeiler-Lehman refinement requires at least a linear number of iterations, InProceedings of the 28th International Colloqium on Automata
 The expressive power of kth-order invariant graph networks, CoRR
 On the expressive power of linear algebra on graphs, Theory Comput
 Let's agree to degree: Comparing graphconvolutional networks in the message-passing framework, In Proceedings of the 38th Interna-tional Conference on Machine Learning
 Expressive power of linearalgebra query languages, In Proceedings of the 40th ACM SIGMOD-SIGACT-SIGAI Symposiumon Principles of Database Systems
 Neuralmessage passing for quantum chemistry, In Proceedings of the 34th International Conference onMachine Learning
 The logic of graph neural networks, In Proceedings of the 36th Annual ACM/IEEESymposium on Logic in Computer Science
 Graph representation learning, Synthesis Lectures on Artificial Intelli-gence and Machine Learning
" Hamilton, Zhitao Ying, and Jure Leskovec", Inductive representation learn-ing on large graphs
 Wavelets on graphs via SPec-tral graph theory, Applied and Computational Harmonic Analysis
 Describing graphs: A first-order approach to graph canon-ization, In Complexity Theory Retrospective: In Honor of Juris Hartmanis on the Occasionof His Sixtieth Birthday
 Universal invariant and equivariant graph neuralnetworks, In Advances in Neural Information Processing Systems
 Semi-supervised classification with graph convolutional net-works, In Proceedings of the 5th International Conference on Learning Representations
 Cayleynets: Graph convo-lutional neural networks with complex rational spectral filters, IEEE Trans
 URL https://doi,org/10
 Open problems: Approximation power ofinvariant graph networks, In NeurIPS 2019 Graph Representation Learning Workshop
 Provably pow-erful graph networks, In Advances in Neural Information Processing Systems
 Invariant and equivariant graphnetworks, In Proceedings of the 7th International Conference on Learning Representations
 Automatic generation of complementary descriptorswith molecular graph networks, J
 The generation of a unique machine description for chemical structures-a techniquedeveloped at chemical abstracts service, Journal of Chemical Documentation
 Weisfeiler and Leman go neural: Higher-order graph neural networks,In Proceedings of the 33rd AAAI Conference on Artificial Intelligence
 Weisfeiler and Leman go sparse: Towardsscalable higher-order graph embeddings, In Advances in Neural Information Processing Systems
" Bounded Variable Logics and Counting: A Study in Finite Models, volume 9 of LectureNotes in Logic", Cambridge University Press
 Graded modal logic and counting bisimulation, ArXiv
The graph neural network model, IEEE Trans
 Stone-Weierstrass theorems revisited, Journal of Approximation Theory
 Graph attention networks, In Proceedings of the 6th International Conference onLearning Representations
Simplifying graph convolUtional networks, In Proceedings of the 36th International Confer-ence on Machine Learning
" How powerfUl are graph neUralnetworks? In Proceedings of the 7th International Conference on Learning Representations,ICLR, 2019", URL https://openreview
 Deep sets, In Advances in Neural Information Processing Systems
