论文题目,会议名称
 Deep learning for segmentation ofbrain tumors: Impact of cross-institutional training and testing, Medical physics
Strike (with) a pose: Neural networks are easily fooled by strange poses of familiar objects, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Invariant risk minimization,arXiv preprint arXiv:1907
From detection of individual metastases to classification of lymph node status at the patient level:the CAMELYON17 challenge, IEEE Transactions on Medical Imaging
 Recognition in terra incognita, In Proceedings ofthe European Conference on Computer Vision
 Synthetic examples improve generalization for rare classes, In Proceedings of theIEEE Workshop on Applications of Computer Vision
 Gender shades: Intersectional accuracy disparities in commer-cial gender classification, In Conference on fairness
 3D shapes dataset, https://github
 Understanding disentangling in β-VAE, In Workshop on LearningDisentangled Representations at the 31st Conference on Neural Information Processing Systems
 Hallucinating agnosticimages to generalize across domains, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition Workshops
 Causality matters in medical imaging, NatureCommunications
 Isolating sources of disentangle-ment in variational autoencoders, In Advances in Neural Information Processing Systems
 InfoGAN:Interpretable representation learning by information maximizing generative adversarial nets, InAdvances in Neural Information Processing Systems
 Star-Gan: Unified generative adversarial networks for multi-domain image-to-image translation, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 AutoAugment:Learning augmentation strategies from data, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 RandAugment: Practical auto-mated data augmentation with a reduced search space, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition Workshops
 Dark model adaptation: Semantic image segmentation from day-time to nighttime, In International Conference on Intelligent Transportation Systems
 Imagenet: A large-scalehierarchical image database, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 On the transfer of disentangled representationsin realistic settings, In Proceedings of the International Conference on Learning Representations
 Animage is worth 16x16 words: Transformers for image recognition at scale, In Proceedings of theInternational Conference on Learning Representations
 Machine learningfor medical imaging, Radiographics
 Model-agnostic meta-learning for fast adaptationof deep networks, In Proceedings of the International Conference on Machine Learning
 Domain-adversarial training of neural net-works, Journal ofMachine Learning Research
 Imagenet-trained cnns are biased towards texture; increasing shape bias im-proves accuracy and robustness, In Proceedings of the International Conference on LearningRepresentations
 Model patching: Closing the subgroupperformance gap with data augmentation, arXiv preprint arXiv:2008
On the transfer of inductive bias from simulation to the real world: a new disentanglement dataset,arXiv preprint arXiv:1906
 Generative adversarial nets, In Advances in NeuralInformation Processing Systems
 Achieving robustness in the wild via adversarial mixing with disen-tangled representations, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 An instance-dependent simulation framework for learning with label noise, arXiv preprintarXiv:2107
 In search of lost domain generalization, In Proceedings ofthe International Conference on Learning Representations
 Co-teaching: Robust training of deep neural networks with extremely noisy labels, InAdvances in Neural Information Processing Systems
