论文题目,会议名称
 The complete midi 1,0 detailed specification
 Layer normalization, arXiv preprintarXiv:1607
 Deep saliencerepresentations for f0 estimation in polyphonic music, In ISMIR
 Vector-quantized timbre representation, arXivpreprint arXiv:2007
 A Neural Parametric Singing Synthesizer Modeling Timbre andExpression from Natural Songs, Applied Sciences
 Modeling andcontrol of expressiveness in music performance, Proceedings of the IEEE
 Towards realistic midi instrument synthesizers,In NeurIPS Workshop on Machine Learning for Creativity and Design (2020)
 Everybody dance now, In Pro-ceedings of the IEEE/CVF International Conference on Computer Vision
 The synthesis of complex audio spectra by means of frequency modulation,Journal of the audio engineering society
 Sing:Symbol-to-instrument neural generator, arXiv preprint arXiv:1810
Jukebox: A generative model for music, arXiv preprint arXiv:2005
 The challenge of realistic musicgeneration: modelling raw audio at scale, In Advances in Neural Information Processing Systems
 Gansynth: Adversarial neural audio synthesis, In ICLR
 DDSP: Differentiable digitalsignal processing, In International Conference on Learning Representations
 Self-supervised pitch detection by inverse audio synthesis, In International Conference on MachineLearning
 Generative adversarial networks, arxiv e-prints
 Fast and flexible neural audiosynthesis, In ISMIR
 Enabling factorized piano music modelingand generation with the MAESTRO dataset, In International Conference on Learning Represen-tations
 Sequence-to-sequence piano transcription with transformers, arXiv preprint arXiv:2107
 Neural waveshaping synthesis, arXivpreprintarXiv:2107
 Long short-term memory, Neural computation
 Coun-terpoint by convolution, In Proceedings of ISMIR 2017
 Cai, Ai song contest: Human-ai co-creation in songwriting
 The control-synthesis approach for making expres-sive and controllable neural music synthesizers, In 2020 AI Music Creativity Conference
 Crepe: A convolutional repre-sentation for pitch estimation, In 2018 IEEE International Conference on Acoustics
 Neural music synthesisfor flexible timbre control, In ICASSP 2019-2019 IEEE International Conference on Acoustics
 Adam: A method for stochastic optimization, arXiv preprintarXiv:1412
 Panns:Large-scale pretrained audio neural networks for audio pattern recognition, IEEE/ACM Transac-tions on Audio
 Melgan: Generative adversarialnetworks for conditional waveform synthesis, In Advances in Neural Information ProcessingSystems
" Lecun, L", Bottou
 Revisiting hierarchical approach for persistent long-termvideo prediction, arXiv preprint arXiv:2104
" Creating a multitrackclassical music performance dataset for multimodal music analysis: Challenges, insights, andapplications", IEEE Transactions on Multimedia
 Analysis of expressive musical terms inviolin using score-informed and expression-based audio features, In ISMIR
 Rectifier nonlinearities improve neural net-work acoustic models, In Proc
 Conditioning deep generative rawaudio models for structured automatic music, In 19th International Society for Music InformationRetrieval Conference
Least squares generative adversarial networks, In Proceedings of the IEEE international confer-ence on computer vision
 The sense of ensemble: amachine learning approach to expressive performance modelling in string quartets, Journal ofNew Music Research
 Tentative standards for sound level meters, Electrical Engineering
 Controllableneural prosody synthesis, In Proceedings of the Annual Conference of the International SpeechCommunication Association
 Fastspeech 2:Fast and high-quality end-to-end text to speech, arXiv preprint arXiv:2006
 Introduction to granular synthesis, Computer Music Journal
 Corpus-based concatenative synthesis, IEEE signal processing magazine
 Spectral modeling synthesis: A sound analysis/synthesis systembased on a deterministic plus stochastic decomposition, Computer Music Journal
Analysis and synthesis of the violin playing style of heifetz and oistrakh, In Proceedings of the20th International Conference on Digital Audio Effects (DAFx-17)
 Wavenet: A generative model forraw audio, In 9th ISCA Speech Synthesis Workshop
 Performancenet: Score-to-audio music generation with multi-bandconvolutional residual network, In Proceedings of the AAAI Conference on Artificial Intelligence
 High-resolution image synthesis and semantic manipulation with conditional gans, In Proceedings ofthe IEEE conference on computer vision and pattern recognition
 Autoregressive neural f0 model for statistical para-metric speech synthesis, IEEE/ACM Transactions on Audio
 Neural source-filter waveform models for sta-tistical parametric speech synthesis, IEEE/ACM Transactions on Audio
 Empirical evaluation of rectified activationsin convolutional network, Proceedings of the International Conference on Machine Learning(ICML) Workshop
 Automatic violin synthesisusing expressive musical term features, In Proceedings of the 19th International Conference onDigitalAudio Effects (DAFx-16)
 Faceswapnet:Landmark guided many-to-many face reenactment, arXiv preprint arXiv:1905
 The sound of motions, In Proceed-ings of the IEEE/CVF International Conference on Computer Vision
1	DDSP SynthesizerDifferentiable Digital Signal Processing (DDSP) (Engel et al,
", 2015; Yang et al",
