论文题目,会议名称
 Deep speech 2: End-to-end speech recognition in english and mandarin, In International conference on machine learning
 Obfuscated gradients give a false sense of se-curity: Circumventing defenses to adversarial examples, In Proceedings of the 35th InternationalConference on Machine Learning
 wav2vec 2,0: A frame-work for self-supervised learning of speech representations
 Adversarial robustness of streaming algorithms through importance sampling, arXivpreprint arXiv:2106
 Wagner, Towards evaluating the robustness of neural networks
 Unla-beled data improves adversarial robustness, In H
 Wearable microphone jamming, In Proceedings of the 2020 CHI Conferenceon Human Factors in Computing Systems
 Reliable evaluation of adversarial robustness with an ensembleof diverse parameter-free attacks, In ICML
 Real-time adversarial attacks, arXivpreprint arXiv:1905
" Goodfellow, Jonathon Shlens, and Christian Szegedy", Explaining and harnessing adversarialexamples
 Deep speech: Scaling up end-to-endspeech recognition, arXiv preprint arXiv:1412
 Mobilenets: Efficient convolutional neural networks formobile vision applications, arXiv preprint arXiv:1704
 Thevisual object tracking vot2017 challenge results, In Proceedings of the IEEE international con-ference on computer vision workshops
" Goodfellow, and Samy Bengio", Adversarial examples in the physical world
 Adver-sarial music: Real world audio adversary against wake-word detection system, arXiv preprintarXiv:1911
 Towards streaming perception, In EuropeanConference on Computer Vision
 Exploring targeted universal adversarialperturbations to end-to-end asr models, arXiv preprint arXiv:2104
 Metric learningfor adversarial robustness, In Advances in Neural Information Processing Systems
 Multitask learning strengthens adversarial robustness, In Andrea Vedaldi
 Deep neural networks are easily fooled: High confi-dence predictions for unrecognizable images, In Proceedings of the IEEE conference on computervision and pattern recognition
 Librispeech: an asr corpusbased on public domain audio books, In 2015 IEEE international conference on acoustics
 Adversarial auto-encoding for packet loss ConceaI-ment, arXiv preprint arXiv:2107
" Imperceptible,robust, and targeted adversarial examples for automatic speech recognition, 2019", 2Lea Schonherr
" Adversarialattacks against automatic speech recognition systems via psychoacoustic hiding, 2018", 2B Ida Seraphim and E Poovammal
 Improvingadversarial robustness requires revisiting misclassified examples, In ICLR
 HUggingface's transformers:State-of-the-art natural language processing, arXiv preprint arXiv:1910
 Zico Kolter, Fast is better than free: Revisiting adversarial training
 Robust audio adversarial example for a physical attack, Proceed-ings of the Twenty-Eighth International Joint Conference on Artificial Intelligence
" Xing, Laurent El Ghaoui, and Michael I", Jordan
 Using anytime algorithms in intelligent systems, AI magazine
