论文题目,会议名称
 Learningdexterous in-hand manipulation, The International Journal of Robotics Research
 End-to-end differentiable physics for learning and control, Advances in Neural Information ProcessingSystems
 A differentiable physics engine for deeplearning in robotics, Frontiers in neurorobotics
 Functionaloptimization of fluidic devices with differentiable stokes flow, ACM Trans
 Underwater soft robotmodeling and control with differentiable simulation, IEEE Robotics and Automation Letters
 DiffPD: Differentiable projective dynamics, ACM Trans
 ThreeDWorld: A platformfor interactive multi-modal physical simulation, In Thirty-fifth Conference on Neural InformationProcessing Systems Datasets and Benchmarks Track (Round 1)
 ADD: Analytically differentiable dynamics for multi-body systems with frictional contact,ACM Trans
 Real2Sim: Visco-elastic parameterestimation from dynamic motion, ACM Trans
 Deep residual learning for imagerecognition, In Proceedings of the IEEE conference on computer vision and pattern recognition
" PTR: A benchmarkfor part-based conceptual, relational, and physical reasoning", In Advances In Neural InformationProcessing Systems
 DiffTaichi: Differentiable programming for physical simulation, In InternationalConference on Learning Representations
 Sim-to-real via sim-to-sim: Data-efficient robotic grasping via randomized-to-canonical adaptation networks, In 2019 IEEE/CVFConference on Computer Vision and Pattern Recognition (CVPR)
" Theory, analysis andapplications of 2d global illumination", 31(5)
 Perceptual losses for real-time style transfer andsuper-resolution, In European conference on computer vision
 Anisotropicgaussian mutations for metropolis light transport through hessian-hamiltonian dynamics, ACMTrans
 Differentiable monte carlo raytracing through edge sampling, ACM Trans
 Differentiable cloth simulation for inverse problems,Advances in Neural Information Processing Systems
 SGDR: Stochastic gradient descent with warm restarts, arXivpreprint arXiv:1608
" Zhang, Kui Wu, Andrew Spielberg, Robert K", Katzschmann
 Fluid control using the adjointmethod, In ACM SIGGRAPH 2004 Papers
 NeRF: Representing scenes as neural radiance fields for view synthesis, In Europeanconference on computer vision
 gradSim: Differ-entiable simulation for system identification and visuomotor control, In International Conferenceon Learning Representations
 Mitsuba 2: A retargetableforward and inverse renderer, ACM Trans
 OptiTrack motion capture systems, https://optitrack
 Sim-to-real transfer ofrobotic control with dynamics randomization, In 2018 IEEE International Conference on Roboticsand Automation (ICRA)
 Physically Based Rendering: From Theory toImplementation, Morgan Kaufmann
 Scalable differentiable physics forlearning and control, In International Conference on Machine Learning
 Efficient differentiable simulationof articulated bodies, In International Conference on Machine Learning
" A first-order analysis of lighting, shading,and shadows", 26(1):2-es
 CAD2RL: Real single-image flight without a single real image,In Robotics: Science and Systems
 Sim-to-real: Learning agile locomotion for quadruped robots, In Robotics:Science and Systems
 Domainrandomization for transferring deep neural networks from simulation to the real world, In 2017IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
 Instance normalization: The missingingredient for fast stylization, arXiv preprint arXiv:1607
 VICON: Award-winning motion capture systems, https://www
 An end-to-end differentiable framework for contact-aware robot design, In Robotics:Science and Systems
 Unpaired image-to-image translationusing cycle-consistent adversarial networks, In 2017 IEEE International Conference on ComputerVision (ICCV)
