论文题目,会议名称
Sanity Checks for Saliency Maps, In S Bengio
Deep learning predicts hip fracture using confounding patient and healthcare variables, npj DigitalMedicine
 Gender shades: Intersectional accuracy disparities in commer-cial gender classification, In Conference on fairness
Mandoline: Model evaluation under distribution shift, In Proceedings of the 38th InternationalConference on Machine Learning
 AI for radiographic COVID-19 detection selectsshortcuts over signal, Nature Machine Intelligence
 BERT: pre-training of deepbidirectional transformers for language understanding, CoRR
 WordNet: An Electronic Lexical Database, Bradford Books
 Weakly supervised classification of aortic valve malformations usingunlabeled cardiac MRI sequences, Nat
 Towards non-i,i
" Mimic-cxr, a de-identified publiclyavailable database of chest radiographs with free-text reports", Scientific data
 Novel dataset for fine-grained image categorization, In First Workshop on Fine-Grained Visual Categorization
 WILDS: ABenchmark of in-the-Wild Distribution Shifts, arXiv:2012
 Deep learning face attributes in the wild,In Proceedings of International Conference on Computer Vision (ICCV)
 Weaksupervision as an efficient approach for automated seizure detection in electroencephalog-raphy, npj Digital Medicine
 Understanding failuresof deep networks via robust feature extraction, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
Combining automatic labelers and expert annotations for accurate radiology report labeling us-ing BERT, In Proceedings of the 2020 Conference on Empirical Methods in Natural LanguageProcessing (EMNLP)
 Cross-domain data integration for named entity disambiguation in biomedical text, In Findings ofthe Association for Computational Linguistics: EMNLP 2021
On Completeness-aware Concept-Based Explanations in Deep Neural Networks, arXiv:1910
 Variable generalization performance of a deep learning model to detect pneumonia inchest radiographs: a cross-sectional study, PLoS medicine
 Mitigating Unwanted Biases with Ad-versarial Learning, Association for the Advancement of Artificial Intelligence (AAAI)
