论文题目,会议名称
 Large scale gan training for high fidelity naturalimage synthesis, arXiv preprint arXiv:1809
 Importance weighted autoencoders, arXivpreprint arXiv:1509
 Wave-grad: Estimating gradients for waveform generation, arXiv preprint arXiv:2009
 Ilvr: Conditioning method for denoising diffusion probabilistic models, arXiv preprint arXiv:2108
 Imagenet: A large-scale hierarchical image database, In 2009 IEEE conference on computer vision and pattern recognition
 Diffusion models beat gans on image synthesis, arXiv preprintarXiv:2105
 Implicit generation and generalization in energy-based models, arXivpreprint arXiv:1903
 Generative adversarial nets, Advances in neural informationprocessing systems
Gans trained by a two time-scale update rule converge to a local nash equilibrium, Advances inneural information processing systems
 Denoising diffusion probabilistic models, arXiv preprintarXiv:2006
Gotta go fast when generating data with score-based models, arXiv preprint arXiv:2105
 Training generative adversarial networks with limited data, arXiv preprint arXiv:2006
 Analyzing and improving the image quality of stylegan, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Bayesian gaussian process classification with the em-epalgorithm, IEEE Transactions on Pattern Analysis and Machine Intelligence
 Glow: Generative flow with invertible 1x1 convolutions,arXiv preprint arXiv:1807
 Variational diffusion models,arXiv preprint arXiv:2107
 Diffwave: A versatilediffusion model for audio synthesis, arXiv preprint arXiv:2009
 Learning multiple layers of features from tiny images,2009
Srdiff: Single image super-resolution with diffusion probabilistic models, arXiv preprintarXiv:2104
 Deep learning face attributes in the wild, In2015 IEEE International Conference on Computer Vision
 Decoupled weight decay regularization, arXiv preprintarXiv:1711
 Knowledge distillation in iterative generative models for improvedsampling speed, arXiv preprint arXiv:2101
 Expectation propagation for approximate bayesian inference, arXiv preprintarXiv:1301
 A family of algorithms for approximate Bayesian inference, PhD thesis
 Spectral normalizationfor generative adversarial networks, arXiv preprint arXiv:1802
 Improved denoising diffusion probabilistic models, arXivpreprint arXiv:2102
 Grad-tts:A diffusion probabilistic model for text-to-speech, arXiv preprint arXiv:2105
 Autoregressive denoising diffusion models for multivariate probabilistic time series forecasting, arXiv preprintarXiv:2101
 Stochastic backpropagation and approximate inference in deep generative models, In International conference on machine learning
 Image super-resolution via iterative refinement, arXiv preprint arXiv:2104
 Noise estimation for generative diffusion models, arXiv preprint arXiv:2104
 Unit-ddpm: Unpaired image translationwith denoising diffusion probabilistic models, arXiv preprint arXiv:2104
 D2c: Diffusion-denoisingmodels for few-shot conditional generation, arXiv preprint arXiv:2106
 Deep unsupervisedlearning using nonequilibrium thermodynamics, In International Conference on Machine Learn-ing
 Denoising diffusion implicit models, arXivpreprint arXiv:2010
 Generative modeling by estimating gradients of the data distribution,arXiv preprint arXiv:1907
 Score-based generative modeling through stochastic differential equations, arXiv preprintarXiv:2011
 Maximum likelihood training of score-based diffusion models, arXiv e-prints
 A note on the evaluation of generativemodels, arXiv preprint arXiv:1511
 Nvae: A deep hierarchical variational autoencoder, arXiv preprintarXiv:2007
 Score-based generative modeling in latent space, arXivpreprint arXiv:2106
 Learning to efficiently sample from diffusion probabilistic models, arXiv preprint arXiv:2106
 Logan: Latentoptimisation for generative adversarial networks, arXiv preprint arXiv:1912
 Vaebm: A symbiosis between variational autoencoders and energy-based models, In International Conference on Learning Repre-sentations
 Lsun: Construction ofa large-scale image dataset using deep learning with humans in the loop, arXiv preprintarXiv:1506
 3d shape generation and completion through point-voxeldiffusion, arXiv preprint arXiv:2104
Bilateral denoising diffusion models,arXiv preprint arXiv
