论文题目,会议名称
Sector: A neural model for coherent topic segmentation and classification, Transactions of theAssociationfor Computational Linguistics
 A latent variable modelaPProach to Pmi-based word embeddings, Transactions of the Association for ComputationalLinguistics
 ReciPeNLG: A cooking reciPes dataset for semi-structured text gener-ation, In Proceedings of the 13th International Conference on Natural Language Generation
Generating sentences from a continuous sPace, In Proceedings of The 20th SIGNLL Conferenceon Computational Natural Language Learning
 Language models arefew-shot learners, arXiv preprint arXiv:2005
 Taskmaster-1: Toward a realistic and diverse dialog dataset, In Proceedings of the 2019 Conference on Em-pirical Methods in Natural Language Processing and the 9th International Joint Conference onNatural Language Processing (EMNLP-IJCNLP)
" TicketTalk: Towardhuman-level Performance with end-to-end, transaction-based dialog systems", In Proceedingsof the 59th Annual Meeting of the Association for Computational Linguistics and the 11th In-ternational Joint Conference on Natural Language Processing (Volume 1: Long Papers)
 Evaluation Benchmarks and Learning Criteria forDiscourse-Aware Sentence RePresentations, In Proceedings of the 2019 Conference on EmpiricalMethods in Natural Language Processing and the 9th International Joint Conference on NaturalLanguage Processing (EMNLP-IJCNLP)
 Evaluation benchmarks and learning criteria fordiscourse-aware sentence rePresentations, In Proc
 A simple framework forcontrastive learning of visual representations, In International conference on machine learning
 BERT: Pre-training of DeepBidirectional Transformers for Language Understanding, arXiv:1810
 Enabling language models to fill in the blanks, InProceedings of the 58th Annual Meeting of the Association for Computational Linguistics
 Empirically estimating order constraints for contentplanning in generation, In Proceedings of the 39th Annual Meeting on Association for Com-putational Linguistics
 Strategies for Structuring Story Generation,arXiv:1902
 Simcse: Simple contrastive learning of sentenceembeddings, arXiv preprint arXiv:2104
 Lagging inference net-works and posterior collapse in variational autoencoders, In International Conference on LearningRepresentations
 Pair: Planning and iterative refinement in pre-trained transformers forlong text generation, In Proceedings of the 2020 Conference on Empirical Methods in NaturalLanguage Processing (EMNLP)
 Unsupervised Feature Extraction by Time-ContrastiveLearning and Nonlinear ICA, arXiv:1605
 Nonlinear ica using auxiliary variables andgeneralized contrastive learning, In The 22nd International Conference on Artificial Intelligenceand Statistics
 Pretraining with Contrastive SentenceObjectives Improves Discourse Performance of Language Models, arXiv:2005
 Speech & language processing, Pearson Education India
 Globally coherent text generation with neuralchecklist models, In Proceedings of the 2016 conference on empirical methods in natural lan-guage processing
 Wikihow: A large scale text summarization dataset,arXiv preprint arXiv:1810
 Albert: A lite bert for self-supervised learning of language representations, arXiv preprintarXiv:1909
 ROUGE: A package for automatic evaluation of summaries, In Text SummarizationBranches Out
 Limitations of autore-gressive models and their alternatives, In Proceedings of the 2021 Conference of the North Amer-ican Chapter of the Association for Computational Linguistics: Human Language Technologies
 Contrastive learning of strong-mixingcontinuous-time stochastic processes, arXiv:2103
 SimCLS: A Simple Framework for Contrastive Learning of AbstractiveSummarization, In Proceedings of the 59th Annual Meeting of the Association for ComputationalLinguistics and the 11th International Joint Conference on Natural Language Processing (Volume2: Short Papers)
 Step-by-step: Separating planning from real-ization in neural data-to-text generation, In Proceedings of the 2019 Conference of the NorthAmerican Chapter of the Association for Computational Linguistics: Human Language Tech-nologies
 A corpus and cloze evaluation for deeper under-standing of commonsense stories, In Proceedings of the 2016 Conference of the North AmericanChapter of the Association for Computational Linguistics: Human Language Technologies
 DisSent: Learning Sentence Representations from Ex-plicit Discourse Relations, In Proceedings of the 57th Annual Meeting of the Association for Com-putational Linguistics
 Bleu: a method for automaticevaluation of machine translation, In Proceedings of the 40th annual meeting of the Associationfor Computational Linguistics
 On variationalbounds of mutual information, In International Conference on Machine Learning
 Data-to-text generation with content selectionand planning, In Proceedings of the AAAI conference on artificial intelligence
 Languagemodels are unsupervised multitask learners, 
 Sentence-bert: Sen-tence embeddings using siamese bert-networks, In Proceedings of the 2019 Conference on Empir-ical Methods in Natural Language Processing
" Continuous martingales and Brownian motion, volume 293", SpringerScience & Business Media
 Parikh, Bleurt: Learning robust metrics for textgeneration
 Deep unsupervisedlearning using nonequilibrium thermodynamics, In International Conference on Machine Learn-ing
 Score-based generative modeling through stochastic differential equations, In Interna-tional Conference on Learning Representations
 Trainable sentence planning for complex in-formation presentation in spoken dialog systems, In Proceedings of the 42nd Annual Meetingon Association for Computational Linguistics
 Language through a prism: A spectral approachfor multiscale language representations, Advances in Neural Information Processing Systems
 Generating narrative text in a switching dynamical system, In Proceedings of the 24thConference on Computational Natural Language Learning
 Rush, Transformers: State-of-the-artnatural language processing
 Discourse-aware neural extractive textsummarization, In Proceedings of the 58th Annual Meeting of the Association for Computa-tional Linguistics
 Bertscore: Evaluat-ing text generation with bert, In International Conference on Learning Representations
 Learning discourse-level diversity for neuraldialog models using conditional variational autoencoders, In Proceedings of the 55th AnnualMeeting of the Association for Computational Linguistics (Volume 1: Long Papers)
