论文题目,会议名称
 Deep learning with differential privacy, In Proceedings of the 2016 ACM SIGSACconference on computer and communications security
 Privacy amplification by subsampling: Tightanalyses via couplings and divergences, arXiv preprint arXiv:1807
 Private empirical risk minimization: Efficientalgorithms and tight error bounds, In 2014 IEEE 55th Annual Symposium on Foundations ofComputer Science
Algorithmic stability for adaptive data analysis, SIAM Journal on Computing
 Random search for hyper-parameter optimization, Journal ofmachine learning research
" Concentrated differential privacy: Simplifications, extensions, andlower bounds", In Theory of Cryptography Conference
 Fingerprinting codes and the price of approximatedifferential privacy, In Proceedings of the forty-sixth annual ACM symposium on Theory ofcomputing
 Composable and versatileprivacy via truncated cdp, In Proceedings of the 50th Annual ACM SIGACT Symposium on Theoryof Computing
 The discrete gaussian for differentialprivacy, arXiv preprint arXiv:2004
Extracting training data from large language models, arXiv preprint arXiv:2012
 A stability-based validation procedure for differentiallyprivate machine learning, In C
 Concentrated differential privacy, arXiv preprintarXiv:1603
" Our data,ourselves: Privacy via distributed noise generation", In Annual International Conference on theTheory and Applications of Cryptographic Techniques
 Calibrating noise to sensitivity inprivate data analysis, In Theory of cryptography conference
 On the complexityof differentially private data release: efficient algorithms and hardness results, In Proceedings ofthe forty-first annual ACM symposium on Theory of computing
 Boosting and differential privacy, In 2010 IEEE51st Annual Symposium on Foundations of Computer Science
 Machine learning applications in cancer prognosis and prediction, Computationaland structural biotechnology journal
 Private selection from private candidates, In Proceedings ofthe 51st Annual ACM SIGACT Symposium on Theory of Computing
 Renyi differential privacy, In 2017 IEEE 30th Computer Security FoundationsSymposium (CSF)
 R\’enyi differential privacy of the sampled gaussianmechanism, arXiv preprint arXiv:1908
 The role of adaptiveoptimizers for honest private hyperparameter selection, arXiv preprint arXiv:2111
 Temperedsigmoid activations for deep learning with differential privacy, arXiv preprint arXiv:2007
 A better privacy analysis of the exponential mech-anism, DifferentialPrivacy
 Stochastic gradient descent with differen-tially private updates, In 2013 IEEE Global Conference on Signal and Information Processing
 Tight lower bounds for differentially private selection, In2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS)
 Renyi divergence and kullback-leibler divergence, IEEETransactions on Information Theory
" Ossorio, Sonoo Thadaney-Israni, and Anna Goldenberg", Do no harm: a roadmap for responsible machine learning for healthcare
 Improving sparse vector technique with renyi dif-ferential privacy, In Advances in Neural Information Processing Systems 33 pre-proceedings (NeurIPS 2020)
Definition 12 (Concentrated Differential Privacy), A randomized algorithm M : Xn → Y is ρ-zCDPif
