论文题目,会议名称
 Adobe general terms of use, https://www
 Neural machine translation by jointlylearning to align and translate, In ICLR
 End-to-end object detection with transformers, In Andrea Vedaldi
 How to use deep learning in character posing, https://cascadeur
 Performance animation from low-dimensional control signals,In ACM Transactions on GraPhics (ToG)
 Graph and temporal convolutional networks for 3dmulti-person pose estimation in monocular videos, AAAI
 Classifying and visualizing motion capture sequences using deepneural networks, In 2014 International Conference on ComPuter Vision Theory and APPlications(VISAPP)
	Inside facebook reality labs:	Research up-dates and the future of social connection,	https://tech
 Space-time representation of people based on3d skeletal data: A review, ComPuter Vision and Image Understanding
" Harvey, Mike Yurick, Derek Nowrouzezahrai, and Christopher Pal", Robust motion in-betweening
 Metric poseestimation for human-machine interaction using monocular vision, ArXiv
 Learning an inverse rig mapping for character animation,In Proceedings of the 14th ACM SIGGRAPH/Eurographics Symposium on Computer Animation
 Phase-functioned neural networks for character control,ACM Transactions on Graphics (TOG)
 Weinberger, Densely connectedconvolutional networks
 Deep inertial poser: Learning to reconstruct human pose from sparse inertial measurementsin real time, ACM Transactions on Graphics (TOG)
 Structural-rnn: Deep learningon spatio-temporal graphs, In Proceedings of the ieee conference on computer vision and patternrecognition
 Inverse kinematics-cyclic coordinate descent (ccd), Journal of Graphics Tools
 Physics-based character animation with cascadeur,In ACM SIGGRAPH 2019 Studio
 Kingma and Jimmy Ba, Adam: A method for stochastic optimization
" Arjun, and Fabian B Flohr", VRU Pose-SSD: Multiperson pose estimationfor automated driving
 Interactive character animation by learning multi-objective control, In SIGGRAPH Asia 2018 Technical Papers
 Temporal IK: Data-driven pose estimation for virtual realiity, Master’s thesis
 Occupancy flow: 4dreconstruction by learning particle dynamics, In ICCV
P, Paul
 QuaterNet: A quaternion-based recurrent model forhuman motion, In British Machine Vision Conference (BMVC)
" Qi, Hao Su, Kaichun Mo, and L", Guibas
 Motion reconstruction using veryfew accelerometers and ground contacts, GraphicalModels
 Advanced character animation systems for Unity, http://root-motion
 Real-time deeppose estimation with geodesic loss for image-to-template rigid registration, IEEE transactions onmedical imaging
" Hudson, and Jennifer Mankoff",Combining body pose
 Local motion phases for learningmulti-contact character movements, ACM Transactions on Graphics (TOG)
 Motion reconstruction using sparse accelerometerdata, ACM Transactions on Graphics (ToG)
 Attention is all you need, In I
 Using ai to make nba players dance, https://tinyurl
 Spatial temporal graph convolutional networks forskeleton-based action recognition, In AAAI 2018
 Real-time lower-body pose prediction from sparseupper-body tracking signals, arXiv preprint arXiv:2103
 Deep sets, In NeurIPS
 Mode-adaptive neural networks forquadruped motion control, ACM Transactions on Graphics (TOG)
 On the continuity of rotationrepresentations in neural networks, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
1	[0,01
01	0,01activation	relu	reluBase L2 loss scale (Wpos)	100	[10
