论文题目,会议名称
 Learning hyperedge replacement grammarsfor graph generation, IEEE transactions on pattern analysis and machine intelligence
 Low data drug discoverywith one-shot learning, ACS central science
 Bayesian reasoning and machine learning, Cambridge University Press
Quantifying the chemical beauty of drugs, Nature chemistry
 Retro*: learning retrosynthetic planningwith neural guided a* search, In International Conference on Machine Learning
 Task-based learning via task-orientedprediction network with applications in finance, arXiv preprint arXiv:1910
 Cogmol: target-specific andselective drug design for covid-19 using deep generative models, Advances in Neural InformationProcessing Systems
 On certain formal properties of grammars, Information and control
 Syntax-directed variational autoen-coder for structured data, arXiv preprint arXiv:1802
 Molgan: An implicit generative model for small molecular graphs,arXiv preprint arXiv:1805
 Task-based end-to-end model learning in stochasticoptimization, arXiv preprint arXiv:1703
 Estimation of synthetic accessibility score of drug-likemolecules based on molecular complexity and fragment contributions, Journal of cheminfor-matics
 A point set generation network for 3d object recon-struction from a single image, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Structure-mapping: A theoretical framework for analogy, Cognitive science
 Automatic chemical design using a data-driven contin-uous representation of molecules, ACS central science
 Objective-reinforced generative adversarial networks (organ) for se-quence generation models, arXiv preprint arXiv:1705
 Polygrammar: Grammar for digital polymer representation and generation, arXiv preprintarXiv:2105
 Towards interpretable graph modeling withvertex replacement grammars, In 2019 IEEE International Conference on Big Data (Big Data)
 Opti-mizing molecules using efficient queries from property evaluations, Nature Machine Intelligence
 Strategies for pre-training graph neural networks, arXiv preprint arXiv:1905
 Zinc:a free tool to discover chemistry for biology, Journal of chemical information and modeling
 Junction tree variational autoencoder formolecular graph generation, In International conference on machine learning
 Hierarchical generation of molecular graphsusing structural motifs, In International Conference on Machine Learning
 Molecular hypergraph grammar with its application to molecular optimization, InInternational Conference on Machine Learning
 Selfies: a robustrepresentation of semantically constrained graphs with an example application in chemistry, arXivpreprint arXiv:1905
 Learning deep generativemodels of graphs, arXiv preprint arXiv:1803
 Efficient graph generation with graph recurrentattention networks, arXiv preprint arXiv:1910
 Constrained graph vari-ational autoencoders for molecule design, arXiv preprint arXiv:1805
 Pi1m: a benchmark database for polymer informatics, Journal ofChemical Information and Modeling
 Constrained generation of semantically valid graphs viaregularizing variational autoencoders, arXiv preprint arXiv:1809
 Graphnvp: An invert-ible flow model for generating molecular graphs, arXiv preprint arXiv:1905
 Hierarchical machine learn-ing model for mechanical property predictions of polyurethane elastomers from small datasets,Frontiers in Materials
" Beyond generative models: superfast traversal, optimization, novelty, exploration anddiscovery (stoned) algorithm for molecules using selfies", Chemical science
 Molecular de-novodesign through deep reinforcement learning, Journal Ofcheminformatics
 Molecular sets (moses): a benchmarking platform for molecular generation models,Frontiers in pharmacology
 Quantumchemistry structures and properties of 134 kilo molecules, Scientific data
 Extended-connectivity fingerprints, Journal of chemical informa-tion and modeling
 Nevae: A deep generative model for molecular graphs, Journalof machine learning research
 Opti-mizing distributions over molecular space, an objective-reinforced generative adversarial networkfor inverse-design chemistry (organic)
 Augmenting molecular deep generative models with topological data analysis rep-resentations, arXiv preprint arXiv:2106
 Two decades under the influence of the rule of five and the changing properties ofapproved oral drugs: miniperspective, Journal of medicinal chemistry
 Modeling graphs with vertex replacementgrammars, In 2019 IEEE International Conference on Data Mining (ICDM)
 Graphvae: Towards generation of small graphs usingvariational autoencoders, In International conference on artificial neural networks
 Message-passing neural networks for high-throughputpolymer screening, Message-passing neural networks for high-throughputpolymer screening
 Fs-mol: A few-shot learning dataset ofmolecules,2021
" Smiles, a chemical language and information system",1
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning, Machine learning
 Deep learning for molecular generation, Future medicinal chemistry
 Chemts: an efficientpython library for de novo molecular generation, Science and technology of advanced materials
 Graph convolutional policynetwork for goal-directed molecular graph generation, arXiv preprint arXiv:1806
