论文题目,会议名称
 Understanding intermediate layers using linear classifier probes,arXiv preprint arXiv:1610
 Learning representations by maximizingmutual information across views, arXiv preprint arXiv:1906
" Joseph, and J", D
 Poisoning the unlabeled dataset of semi-supervised learning, In 30th USENIXSecurity Symposium (USENIX Security 21)
 Large scale online learning of imagesimilarity through ranking, Journal of Machine Learning Research
org/papers/v11/chechik10a,html
 Improved baselines with momentumcontrastive learning, arXiv preprint arXiv:2003
 Targeted backdoor attacks on deeplearning systems using data poisoning, arXiv preprint arXiv:1712
" Learning a similarity metric discriminatively, withapplication to face verification", In 2005 IEEE Computer Society Conference on Computer Visionand Pattern Recognition (CVPR’05)
" Deng, W", Dong
 Badnets: Identifying vulnerabilities in themachine learning model supply chain, In Proceedings of the NIPS Workshop on Mach
 Dimensionality reduction by learning an invariantmapping, In 2006 IEEE Computer Society Conference on Computer Vision and Pattern Recognition(CVPR’06)
 Deep residual learning for imagerecognition, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Benchmarking neural network robustness to commoncorruptions and perturbations, arXiv preprint arXiv:1903
"Openclip, July 2021", URL https://doi
 Learning visualfeatures from large weakly supervised data, In European Conference on Computer Vision
 Online anomaly detection under adversarial impact, In Proceedingsof the thirteenth international conference on artificial intelligence and statistics
 Security analysis of online centroid anomaly detection, The Journalof Machine Learning Research
 Understanding black-box predictions via influence functions, InProceedings ofthe 34th International Conference on Machine Learning-Volume 70
 A unified framework for datapoisoning attack to graph-based semi-supervised learning, Advances in Neural InformationProcessing Systems
 Representation learning with contrastive predictivecoding, arXiv preprint arXiv:1807
 Learning transferable visualmodels from natural language supervision, arXiv preprint arXiv:2103
" Do imagenet classifiersgeneralize to imagenet? In International Conference on Machine Learning, pp", 5389-5400
 Poison frogs! targeted clean-label poisoning attacks on neural networks, InAdvances in Neural Information Processing Systems
" Conceptual captions: A cleaned,hypernymed, image alt-text dataset for automatic image captioning", In Proceedings of the 56thAnnual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)
 Connecting modalities: Semi-supervised segmentation and annotationof images using unaligned text corpora, In 2010 IEEE Computer Society Conference on ComputerVision and Pattern Recognition
 Improved deep metric learning with multi-class n-pair loss objective, In Proceedingsof the 30th International Conference on Neural Information Processing Systems
 Intriguing properties of neural networks, In International Conference on LearningRepresentations
 Yfcc100m: The new data in multimedia research, Communicationsof the ACM
 Contrastive multiview coding, arXiv preprintarXiv:1906
" Henaff, and Aaron van den Oord", Divide and contrast: Self-supervisedlearning from uncurated data
 Self Supervised Learning with Fastai, Available from https://keremturgutlu
 Label-consistent backdoor attacks, arXivpreprint arXiv:1912
 Attention is all you need, arXiv preprint arXiv:1706
 Distance metric learning for large margin nearestneighbor classification, Journal of machine learning research
 Large scale image annotation: learning to rankWithjoint word-image embeddings, Machine learning
 Unsupervised feature learning via non-parametric instance discrimination, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition
 Understanding deeplearning requires rethinking generalization, International Conference on Learning Representations
 Con-trastive learning of medical visual representations from paired images and text, arXiv preprintarXiv:2010
