论文题目,会议名称
 Maximum a Posteriori Policy Optimisation, In International Conference on LearningRepresentations
" Schneider, Tomas Lozano-Perez, and Leslie Pack Kaelbling", Meta-LearningCuriosity Algorithms
 Natural Gradient Works Efficiently in Learning, Neural computation
 How to Train Your MAML, InInternational Conference on Learning Representations
 Provable Guarantees for Gradient-Based Meta-Learning, In International Conference on Machine Learning
 The Arcade Learning Environment: AnEvaluation Platform for General Agents, Journal of Artificial Intelligence Research
 Gradient-Based Optimization of Hyperparameters, Neural computation
 Learning a Synaptic Learning Rule, Universitede MOntreaL DePartement d
 Learning to Optimize in Swarms, Advances in NeuralInformation Processing Systems
 Learning to learn for Global OPtimization of Black Box Functions, InAdvances in Neural Information Processing Systems
 Online-Within-OnlineMeta-Learning, In Advances in Neural Information Processing Systems
 Imagenet: A Large-ScaleHierarchical Image Database, In Computer Vision and Pattern Recognition
 ImPala: Scalable Distributed DeeP-RLwith ImPortance Weighted Actor-Learner Architectures, In International Conference on MachineLearning
 Model-Agnostic Meta-Learning for Fast AdaPtationof DeeP Networks, In International Conference on Machine Learning
 TransferringKnowledge across Learning Processes, In International Conference on Learning Representations
" Rusu, Razvan Pascanu, Francesco Visin, Hujun Yin, and RaiaHadsell", Meta-Learning with WarPed Gradient Descent
 RecastingGradient-Based Meta-Learning as Hierarchical Bayes, In International Conference on LearningRepresentations
 Bootstrap Your Own Latent:A New Approach to Self-Supervised Learning, In Advances in Neural Information ProcessingSystems
 Bootstrap Latent-Predictive Representations for Multi-task Reinforcement Learning, In International Conference on Machine Learning
 Muesli: Combining Improvements in PolicyOptimization, arXiv preprint arXiv:2104
 Distilling the Knowledge in a Neural Network, arXivpreprint arXiv:1503
 Plaut, Using Fast Weights to Deblur Old Memories
 Learning To Learn Using GradientDescent, In International Conference on Artificial Neural Networks
 Reconciling Meta-Learning andContinual Learning with Online Mixtures of Tasks, In Advances in Neural Information ProcessingSystems
 In-Datacenter Performance Analysis ofa Tensor Processing Unit, In International Symposium on Computer Architecture
 A Natural Policy Gradient, In Advances in Neural Information Processing Systems
 RecurrentExperience Replay in Distributed Reinforcement Learning, In International Conference onLearning Representations
 Adaptive Gradient-Based Meta-Learning Methods, Advances in Neural Information Processing Systems
 Improving Generalization in MetaReinforcement Learning Using Learned Objectives, arXiv preprint arXiv:1910
 Gradient-Based Meta-Learning with Learned Layerwise Metric andSubspace, In International Conference on Machine Learning
 Learning Gradient Descent: Better Generalization andLonger Horizons, In International Conference on Machine Learning
 Revisiting the Arcade Learning Environment: Evaluation Protocols and OpenProblems for General Agents, Journal OfArtificial Intelligence Research
 Gradient-Based Hyperparameter Opti-mization Through Reversible Learning, In International conference on machine learning
Understanding and Correcting Pathologies in the Training of Learned Optimizers, In InternationalConference on Machine Learning
 Playing Atari with Deep Reinforcement Learning, arXiv preprintarXiv:1312
 On First-Order Meta-Learning Algorithms, arXivpreprint ArXiv:1803
 Discovering Reinforcement Learning Algorithms, In Advances in NeuralInformation Processing Systems
 Meta-Curvature, In Advances in Neural Information ProcessingSystems
 Revisiting Natural Gradient for Deep Networks, In InternationalConference on Learning Representations
 Incremental Multi-Step Q-Learning, In International Conferenceon Machine Learning
 Rapid Learning or FeatureReuse? Towards Understanding the Effectiveness of MAML, In International Conference onLearning Representations
 Optimization as a Model for Few-Shot Learning, In InternationalConference on Learning Representations
" So, and Quoc V", Le
 PolicyDistillation, arXiv preprint arXiv:1511
 Meta-Learning with Latent Embedding Optimization, In InternationalConference on Learning Representations
 Evolutionary Principles in SeIf-Referential Learning, PhD thesis
" A ,self-referential, weight matrix", In International Conference OnArtficialNeural Networks
 Off-Policy Actor-Critic with Shared ExperienceReplay, In International Conference on Machine Learning
 Schraudolph, Local Gain Adaptation in Stochastic Gradient Descent
 Trust RegionPolicy Optimization, In International Conference on Machine Learning
 Proximal PolicyOptimization Algorithms, arXiv preprint arXiv:1707
 Spelke and Katherine D Kinzler, Core Knowledge
 Some Considerations on Learning to Explore via Meta-Reinforcement Learning, InAdvances in Neural Information Processing Systems
 Learning to Predict by the Methods of Temporal Differences, Machine learning
 Policy GradientMethods for Reinforcement Learning with Function Approximation, In Advances in NeuralInformation Processing Systems
 Distral: Robust Multitask Reinforcement Learning, InAdvances in Neural Information Processing Systems
 Mirror Descent PolicyOptimization, arXiv preprint arXiv:2005
 Meta-Dataset: A Datasetof Datasets for Learning to Learn from Few Examples, International Conference on LearningRepresentations
 MetaGrad: Multiple Learning Rates in Online Learning, InAdvances in Neural Information Processing Systems
 Match-ing Networks for One Shot Learning, In Advances in Neural Information Processing Systems
 Learning to Reinforcement Learn,In Annual Meeting of the Cognitive Science Society
 Learned Optimizers that Scale and Generalize,In International Conference on Machine Learning
 Function Optimization using Connectionist ReinforcementLearning Algorithms, Connection Science
 Understanding Short-Horizon Bias inStochastic Meta-Optimization, In International Conference on Learning Representations
" van Hasselt, and David Silver", Meta-Gradient Reinforcement Learning
 Meta-Learningwithout Memorization, In International Conference on Learning Representations
 A Self-Tuning Actor-Critic Algorithm, Advances in Neural InformationProcessing Systems
 On Learning Intrinsic Rewards for Policy GradientMethods, Advances in Neural Information Processing Systems
 Fast ContextAdaptation via Meta-Learning, In International Conference on Machine Learning
