论文题目,会议名称
 Second-order stochastic optimization for machinelearning in linear time, The Journal ofMachine Learning Research
 Machine learning for encrypted malware traffic classifica-tion: Accounting for noisy labels and non-stationarity, In SIGKDD
 Unsupervisedlabel noise modeling and loss correction, In ICML
 A closer look at memorization in deep networks, In ICML
 Discriminative learning under covariateshift, Journal of Machine Learning Research
 Smote: syntheticminority over-sampling technique, Journal of artificial intelligence research
 Generalizeddataweighting via class-level gradient manipulation, In A
 Characterizations of an empirical influence function fordetecting influential cases in regression, Technometrics
 Cleaning crowdsourced labelsusing oracles for statistical classification, Proc
 Rethinking importance weighting fordeep learning under distribution shift, In Advances in Neural Information Processing Systems 33:Annual Conference on Neural Information Processing Systems 2020
 Training deep neural-networks using a noise adaptationlayer, In 5th International Conference on Learning Representations
 RECORD: resource constrained semi-supervised learningunder distribution shift, In SIGKDD
 Co-teaching: Robust training of deep neural networks with extremely noisy labels, InNeurIPS
SIGUA: forgetting may make learning with noisy labels more robust, In ICML
 Learning from imbalanced data, IEEE Transactions on knowledgeand data engineering
" Robust statistics, volume 523", John Wiley & Sons
 Mentornet: Learning data-driven curriculum for very deep neural networks on corrupted labels, In ICML
 Understanding black-box predictions via influence functions, InICML
 On the accuracy of influencefunctions for measuring group effects, In NeurIPS
 Dividemix: Learning with noisy labels as semi-supervised learning, In 8th International Conference on Learning Representations
 Scalable betweenness centralitymaximization via sampling, In SIGKDD
 Decoupling ”when to update” from ”how to update”, InNeurIPS
 Deep learning via hessian-free optimization, In ICML
 Makingdeep neural networks robust to label noise: A loss correction approach, In 2017 IEEE Conferenceon Computer Vision and Pattern Recognition
 2233-2241, IEEE Computer Society
 REA: robust cross-lingual entity alignmentbetween knowledge graphs, In SIGKDD
 Learning to reweight examples forrobust deep learning, In ICML
 Not all unlabeled data are equal:Learning to weight data in semi-supervised learning, In Advances in Neural Information Process-ing Systems 33: Annual Conference on Neural Information Processing Systems 2020
 The central role of the propensity score in observationalstudies for causal effects, Biometrika
 Optimal subsampling with influence functions, In NeurIPS
 Data dropout: Optimizing training data for convolutionalneural networks, In 2018 IEEE 30th International Conference on Tools with Artificial Intelligence(ICTAI)
 Denoising implicit feed-back for recommendation, arXiv preprint arXiv:2006
 Symmetric cross en-tropy for robust learning with noisy labels, In Proceedings of the IEEE International Conferenceon ComPuter Vision
 Less is better: Un-weighted data subsampling via influence function, In AAAI
 Combating noisy labels by agreement: A jointtraining method with co-regularization, In CVPR
 Influence function for unbiased recommendation, In SIGIR
 Sampler design for implicit feedback data by noisy-label robust learning,In SIGIR
" How doesdisagreement help generalization against label corruption? In ICML, volume 97 of Proceedingsof Machine Learning Research, pp", 7164-7173
 An efficientand provable approach for mixture proportion estimation using linear independence assumption,In CVPR
 Understandingdeep learning requires rethinking generalization, In 5th International Conference on LearningRePresentations
 Training set debugging using trusted items, InThirty-second AAAI conference on artificial intelligence
 Focused context balancing forrobust offline policy evaluation, In SIGKDD
